# Wordlist

# DATA
ID	CHECK_SEGMENTS	CLUSTERFORMAT	CLUSTERID	CONCEPT	CONCEPT_KEY	DOCULECT	IPA	MORPHEMES	OB_ATTESTED	OLD_BURMESE	ORIGINAL_CONCEPT	ORIGINAL_ENTRY	ORIGINAL_TAXNAME	PCOGSETS	PROSTRING	TOKENS	METAGLOSS
807	! @nh36	1 0	154	ten	1278	Achang_Longchuan	tɕhe⁵⁵	tɕʰ e ⁵⁵	?	?	ten num	tɕhe⁵⁵  | 0806.28	Achang (Longchuan) TBL	1	CVT	tɕh e ⁵⁵	ten
808	! @nh36	1 2	154	ten	1278	Xiandao	ta³¹tshi⁵⁵	t a ³¹ + tsʰ i ⁵⁵	?	?	ten num	ta³¹ tshi⁵⁵  | 0806.29	Achang (Xiandao) TBL	1 2	CVTCVT	t a ³¹ ◦ tsh i ⁵⁵	ten
809	! @nh36	1 0	154	ten	1278	Atsi	tshe⁵¹	tsʰ e ⁵¹	?	?	ten num	tshe⁵¹  | 0806.30	Atsi [Zaiwa] TBL	1	CVT	tsh e ⁵¹	ten
810	! @nh36	1 2	154	ten	1278	Bola	tă³¹thai⁵⁵	t ă ³¹ + tʰ a i ⁵⁵	?	?	ten num	tă³¹ thai⁵⁵  | 0806.32	Bola (Luxi) TBL	1 2	CVTCVT	t ă ³¹ ◦ th ai ⁵⁵	ten
811	! @nh36	1 0	154	ten	1278	Maru	tshɛ³¹	tsʰ ɛ ³¹	?	?	ten num	tshɛ³¹  | 0806.31	Langsu (Luxi) TBL	1	CVT	tsh ɛ ³¹	ten
812	! @nh36	1 2	154	ten	1278	Lashi	tă³¹tshe³³	t ă ³¹ + tsʰ e ³³	?	?	ten num	tă³¹ tshe³³  | 0806.33	Leqi (Luxi) TBL	1 2	CVTCVT	t ă ³¹ ◦ tsh e ³³	ten
#
801	! @nh36	0 2	154	ten cents (classifier)	1278	Achang_Longchuan	tɕɔʔ³¹	tɕ ɔ ʔ ³¹	?	?	ten cents clf	tɕɔʔ³¹  | 0907.28	Achang (Longchuan) TBL	2	CVcT	tɕ ɔ ʔ ³¹	ten
802	! @nh36	8	157	ten cents (classifier)	1278	Xiandao	xɛŋ⁵¹	x ɛ ŋ ⁵¹	?	?	ten cents clf	xɛŋ⁵¹  | 0907.29	Achang (Xiandao) TBL	8	CVcT	x ɛ ŋ ⁵¹	ten
803	! @nh36	9	155	ten cents (classifier)	1278	Atsi	kjoʔ⁵⁵	k j o ʔ ⁵⁵	?	?	ten cents clf	kjoʔ⁵⁵  | 0907.30	Atsi [Zaiwa] TBL	9	CCVcT	k j o ʔ ⁵⁵	ten
804	! @nh36	9	155	ten cents (classifier)	1278	Bola	kjɔʔ³¹	k j ɔ ʔ ³¹	?	?	ten cents clf	kjɔʔ³¹  | 0907.32	Bola (Luxi) TBL	9	CCVcT	k j ɔ ʔ ³¹	ten
805	! @nh36	9	155	ten cents (classifier)	1278	Maru	kjɔʔ³¹	k j ɔ ʔ ³¹	?	?	ten cents clf	kjɔʔ³¹  | 0907.31	Langsu (Luxi) TBL	9	CCVcT	k j ɔ ʔ ³¹	ten
806	! @nh36	9	155	ten cents (classifier)	1278	Lashi	kjɔ³¹	k j ɔ ³¹	?	?	ten cents clf	kjɔ³¹  | 0907.33	Leqi (Luxi) TBL	9	CCVT	k j ɔ ³¹	ten
#
813	! @nh36	0 0 0 0 0 0 2 0 0	159	that	1895	Achang_Lianghe	xɑu⁵⁵	x ɑ u ⁵⁵	?	?	that	xɑu⁵⁵  | 591.48	Achang (Lianghe) JZ-Achang	2	CVT	x ɑu ⁵⁵	that
814	! @nh36	0 1 0 0 0 0 0 0 0	159	that	1895	Achang_Longchuan	the⁵⁵	tʰ e ⁵⁵	?	?	that	the⁵⁵  | 983.41	Achang (Longchuan) ZMYYC	1	CVT	th e ⁵⁵	that
815	! @nh36	0 0 0 0 0 0 2 0 0	159	that	1895	Achang_Luxi	xau³⁵	x a u ³⁵	?	?	that	xau³⁵  | 0725.03	Achang (Luxi) JZ-Achang	2	CVT	x au ³⁵	that
816	! @nh36	0 0 0 0 0 0 2 0 0	159	that	1895	Atsi	xje⁵¹	x j e ⁵¹	?	?	that	xje⁵¹  | 983.42	Atsi [Zaiwa] ZMYYC	2	CCVT	x j e ⁵¹	that
817	! @nh36	0 1 0 0 0 0 0 0 0	159	that	1895	Burmese_ZMYYC	thui	h t o ²	?	thuiw	that	hto²  | 983.39	Burmese (Written) ZMYYC	1	CV	th ui	that
818	! @nh36	0 1 0 0 0 0 0 0 0	159	that	1895	Maru	thø³¹	tʰ ø ³¹	?	?	that	thø³¹  | 983.43	Maru [Langsu] ZMYYC	1	CVT	th ø ³¹	that
819	! @nh36	0 0 0 0 0 0 0 7 0	159	that	1895	Hpun	hᴜ́n	h ᴜ́ n	?	?	that (cp. This)	hᴜ́n(nù)  | 84.112	Hpun (Northern) EJAH-Hpun	7	CVc	h ᴜ́ n	that
820	! @nh36	1 1 0 0 0 0 0 0 0	159	that	1895	Achang_Longchuan	the⁵¹the⁵⁵	tʰ e ⁵¹ + tʰ e ⁵⁵	?	?	that (over yonder) dem	the⁵¹ the⁵⁵  | 0948.28	Achang (Longchuan) TBL	1 1	CVTCVT	th e ⁵¹ ◦ th e ⁵⁵	that
821	! @nh36	0 1 0 0 0 0 0 0 0	159	that	1895	Xiandao	thɛ⁵⁵	tʰ ɛ ⁵⁵	?	?	that (over yonder) dem	thɛ⁵⁵  | 0948.29	Achang (Xiandao) TBL	1	CVT	th ɛ ⁵⁵	that
822	! @nh36	0 0 0 0 0 0 2 0 0	159	that	1895	Atsi	xau⁵¹	x a u ⁵¹	?	?	that (over yonder) dem	xau⁵¹  | 0948.30	Atsi [Zaiwa] TBL	2	CVT	x au ⁵¹	that
823	! @nh36	0 1 0 0 0 0 0 0 0	159	that	1895	Maru	thø⁵⁵	tʰ ø ⁵⁵	?	?	that (over yonder) dem	thø⁵⁵  | 0948.31	Langsu (Luxi) TBL	1	CVT	th ø ⁵⁵	that
824	! @nh36	0 0 0 0 0 0 2 0 0	159	that	1895	Lashi	xɛ³³	x ɛ ³³	?	?	that (over yonder) dem	xɛ³³  | 0948.33	Leqi (Luxi) TBL	2	CVT	x ɛ ³³	that
831	! @nh36	0 1 0 0 0 0 0 0 0	159	that	1895	Achang_Longchuan	the⁵⁵	tʰ e ⁵⁵	?	?	that dem	the⁵⁵  | 0947.28	Achang (Longchuan) TBL	1	CVT	th e ⁵⁵	that
832	! @nh36	25	160	that	1895	Xiandao	thɛ⁵⁵	tʰ ɛ ⁵⁵	?	?	that dem	thɛ⁵⁵  | 0947.29	Achang (Xiandao) TBL	25	CVT	th ɛ ⁵⁵	that
833	! @nh36	0 0 0 0 0 0 2 0 0	159	that	1895	Atsi	xje⁵¹	x j e ⁵¹	?	?	that dem	xje⁵¹  | 0947.30	Atsi [Zaiwa] TBL	2	CCVT	x j e ⁵¹	that
834	! @nh36	0 0 0 0 0 0 2 0 0	159	that	1895	Bola	xu⁵¹	x u ⁵¹	?	?	that dem	xu⁵¹  | 0947.32	Bola (Luxi) TBL	2	CVT	x u ⁵¹	that
835	! @nh36	0 1 0 0 0 0 0 0 0	159	that	1895	Maru	thø³¹	tʰ ø ³¹	?	?	that dem	thø³¹  | 0947.31	Langsu (Luxi) TBL	1	CVT	th ø ³¹	that
836	! @nh36	0 1 0 0 0 0 0 0 0	159	that	1895	Lashi	thə³³	tʰ ə ³³	?	?	that dem	thə³³  | 0947.33	Leqi (Luxi) TBL	1	CVT	th ə ³³	that
#
825	! @nh36	0 1 3 0 0 0 0 0 0	159	that way	1895	Achang_Longchuan	the⁵⁵miu⁵⁵	tʰ e ⁵⁵ + m i u ⁵⁵	?	?	that (way) / (like) that dem	the⁵⁵ miu⁵⁵  | 0952.28	Achang (Longchuan) TBL	1 3	CVTCVT	th e ⁵⁵ ◦ m iu ⁵⁵	that
826	! @nh36	0 1 0 0 0 0 0 0 4	159	that way	1895	Xiandao	thɛ⁵⁵su³¹	tʰ ɛ ⁵⁵ + s u ³¹	?	?	that (way) / (like) that dem	thɛ⁵⁵ su³¹  | 0952.29	Achang (Xiandao) TBL	1 4	CVTCVT	th ɛ ⁵⁵ ◦ s u ³¹	that
827	! @nh36	0 0 0 0 0 0 2 0 4	159	that way	1895	Atsi	xje⁵¹su²¹	x j e ⁵¹ + s u ²¹	?	?	that (way) / (like) that dem	xje⁵¹ su²¹  | 0952.30	Atsi [Zaiwa] TBL	2 4	CCVTCVT	x j e ⁵¹ ◦ s u ²¹	that
828	! @nh36	0 1 0 5 0 0 0 0 0	159	that way	1895	Bola	thɔ̆i⁵⁵khja³¹	tʰ ɔ̆ i ⁵⁵ + kʰ j a ³¹	?	?	that (way) / (like) that dem	thɔ̆i⁵⁵ khja³¹  | 0952.32	Bola (Luxi) TBL	1 5	CVTCCVT	th ɔ̆i ⁵⁵ ◦ kh j a ³¹	that
829	! @nh36	0 1 0 0 0 0 0 0 4	159	that way	1895	Maru	thø⁵⁵ʒu³¹	tʰ ø ⁵⁵ + ʒ u ³¹	?	?	that (way) / (like) that dem	thø⁵⁵ ʒu³¹  | 0952.31	Langsu (Luxi) TBL	1 4	CVTCVT	th ø ⁵⁵ ◦ ʒ u ³¹	that
830	! @nh36	0 1 0 0 0 0 0 0 4	159	that way	1895	Lashi	thə³³su⁵⁵	tʰ ə ³³ + s u ⁵⁵	?	?	that (way) / (like) that dem	thə³³ su⁵⁵  | 0952.33	Leqi (Luxi) TBL	1 4	CVTCVT	th ə ³³ ◦ s u ⁵⁵	that
#
843	! @nh36	1 0 0 0 2	161	the animal	197	Atsi	tu²¹sat²¹	t u ²¹ + s a t ²¹	?	?	animal / beast n	tu²¹ sat²¹  | 0303.30	Atsi [Zaiwa] TBL	1 2	CVTCVcT	t u ²¹ ◦ s a t ²¹	the animal
844	! @nh36	0 3 4 5 0	161	the animal	197	Bola	sɛ̃⁵⁵ja³¹tsai⁵⁵	s ɛ̃ ⁵⁵ + j a ³¹ + ts a i ⁵⁵	?	?	animal / beast n	sɛ̃⁵⁵ ja³¹ tsai⁵⁵  | 0303.32	Bola (Luxi) TBL	3 4 5	CVVTCVTCVT	s ɛ̃ ∼ ⁵⁵ ◦ j a ³¹ ◦ ts ai ⁵⁵	the animal
845	! @nh36	0 3 4 0 0	161	the animal	197	Lashi	sei⁵⁵jɔ³¹	s e i ⁵⁵ + j ɔ ³¹	?	?	animal / beast n	sei⁵⁵ jɔ³¹  | 0303.33	Leqi (Luxi) TBL	3 4	CVTCVT	s ei ⁵⁵ ◦ j ɔ ³¹	the animal
#
857	! @nh36	1 0 2 0 0 0 0	164	the ant	281	Atsi	pau⁵¹voʔ⁵⁵	p a u ⁵¹ + v o ʔ ⁵⁵	?	?	ant 1	pau⁵¹ voʔ⁵⁵  | 0365.30	Atsi [Zaiwa] TBL	1 2	CVTCVcT	p au ⁵¹ ◦ v o ʔ ⁵⁵	the ant
858	! @nh36	1 0 2 0 0 0 0	164	the ant	281	Bola	phə̆³¹ɣɔʔ³¹	pʰ ə̆ ³¹ + ɣ ɔ ʔ ³¹	?	?	ant 1	phə̆³¹ ɣɔʔ³¹  | 0365.32	Bola (Luxi) TBL	1 2	CVTCVcT	ph ə̆ ³¹ ◦ ɣ ɔ ʔ ³¹	the ant
859	! @nh36	1 0 2 3 0 0 0	164	the ant	281	Burmese_ZMYYC	pu rvak chip	p u ¹ + r w a + k c h i p	?	pu ro₁k chip	ant 1	pu¹rwak chip  | 157.39	Burmese (Written) ZMYYC	1 2 3	CV_CCVc_CVc	p u ◦ r v a k ◦ ch i p	the ant
860	! @nh36	4 5	168	the ant	281	Hpun	shísɛ̀ʔ	sʰ í + s ɛ̀ ʔ	?	?	ant 1	shísɛ̀ʔ  | 206	Hpun (Northern) EJAH-Hpun	4 5	CVCVc	sh í ◦ s ɛ̀ ʔ	the ant
861	! @nh36	1 0 2 0 0 0 0	164	the ant	281	Maru	phə̆³¹ɣuk³¹	pʰ ə̆ ³¹ + ɣ u k ³¹	?	?	ant 1	phə̆³¹ ɣuk³¹  | 0365.31	Langsu (Luxi) TBL	1 2	CVTCVcT	ph ə̆ ³¹ ◦ ɣ u k ³¹	the ant
862	! @nh36	6 7	166	the ant	281	Lashi	la³¹jɛt³¹	l a ³¹ + j ɛ t ³¹	?	?	ant 1	la³¹ jɛt ³¹  | 0365.33	Leqi (Luxi) TBL	6 7	CVTCVcT	l a ³¹ ◦ j ɛ t ³¹	the ant
863	! @nh36	8 9	165	the ant	281	Achang_Lianghe	tɕɑ³¹m̥ɑn³¹	tɕ ɑ ³¹ + m̥ ɑ n ³¹	?	?	ant 2	tɕɑ³¹ m̥ɑn³¹  | 0536.20	Achang (Lianghe) JZ-Achang	8 9	CVTCVcT	tɕ ɑ ³¹ ◦ m̥ ɑ n ³¹	the ant
864	! @nh36	8 9	165	the ant	281	Achang_Longchuan	tɕhi⁵⁵man⁵⁵	tɕʰ i ⁵⁵ + m a n ⁵⁵	?	?	ant 2	tɕhi⁵⁵ man⁵⁵  | 0365.28	Achang (Longchuan) TBL	8 9	CVTCVcT	tɕh i ⁵⁵ ◦ m a n ⁵⁵	the ant
865	! @nh36	8 9	165	the ant	281	Achang_Luxi	tɕaŋ⁵⁵man⁵¹	tɕ a ŋ ⁵⁵ + m a n ⁵¹	?	?	ant 2	tɕaŋ⁵⁵ man⁵¹  | 182.2	Achang (Luxi) JZ-Achang	8 9	CVcTCVcT	tɕ a ŋ ⁵⁵ ◦ m a n ⁵¹	the ant
866	! @nh36	8 9	165	the ant	281	Xiandao	chaŋ³¹m̥an⁵⁵	c h a ŋ ³¹ + m̥ a n ⁵⁵	?	?	ant 2	chaŋ³¹ m̥an⁵⁵  | 0365.29	Achang (Xiandao) TBL	8 9	CVcTCVcT	ch a ŋ ³¹ ◦ m̥ a n ⁵⁵	the ant
#
867	! @nh36	1 0 0 2 0 0 0 0	169	the arm	414	Achang_Lianghe	lɑ³¹uŋ³⁵	l ɑ ³¹ + u ŋ ³⁵	?	?	arm	lɑ³¹ uŋ³⁵  | F.9	Achang (Lianghe) JZ-Achang	1 2	CVTVcT	l ɑ ³¹ ◦ u ŋ ³⁵	the arm
868	! @nh36	1 0 0 0 0 0 0 3	169	the arm	414	Achang_Longchuan	lɔʔ⁵⁵san⁵⁵	l ɔ ʔ ⁵⁵ + s a n ⁵⁵	?	?	arm	lɔʔ⁵⁵ san⁵⁵  | 132.1	Achang (Longchuan) JZ-Achang	1 3	CVcTCVcT	l ɔ ʔ ⁵⁵ ◦ s a n ⁵⁵	the arm
869	! @nh36	1 4 5 0 0 0 0 0	169	the arm	414	Achang_Luxi	laʔ³¹paŋ⁵⁵tsɿ⁵⁵	l a ʔ ³¹ + p a ŋ ⁵⁵ + ts ɿ ⁵⁵	?	?	arm	laʔ³¹ paŋ⁵⁵ tsɿ⁵⁵  | 129	Achang (Luxi) JZ-Achang	1 4 5	CVcTCVcTCVT	l a ʔ ³¹ ◦ p a ŋ ⁵⁵ ◦ ts ɿ ⁵⁵	the arm
870	! @nh36	1 0 0 0 6 0 0 0	169	the arm	414	Xiandao	lɔʔ⁵⁵ʐum³¹	l ɔ ʔ ⁵⁵ + ʐ u m ³¹	?	?	arm	lɔʔ⁵⁵ ʐum³¹  | 128	Achang (Xiandao) DQ-Xiandao	1 6	CVcTCVcT	l ɔ ʔ ⁵⁵ ◦ ʐ u m ³¹	the arm
871	! @nh36	1 0 0 0 0 7 0 0	169	the arm	414	Atsi	loʔ²¹pu⁵⁵	l o ʔ ²¹ + p u ⁵⁵	?	?	arm	loʔ²¹ pu⁵⁵  | U.33	Atsi [Zaiwa] JZ-Zaiwa	1 7	CVcTCVT	l o ʔ ²¹ ◦ p u ⁵⁵	the arm
872	! @nh36	1 0 0 0 0 7 0 0	169	the arm	414	Bola	laʔ³¹pu³⁵	l a ʔ ³¹ + p u ³⁵	?	?	arm	laʔ³¹ pu³⁵  | 0105.32	Bola (Luxi) TBL	1 7	CVcTCVT	l a ʔ ³¹ ◦ p u ³⁵	the arm
873	? @nh36	1 0 0 0 0 0 8 0	169	the arm	414	Burmese_ZMYYC	lak moṅḥ	l ɑ + k m ɔ ŋ ³	?	lak mo₂ṅḥ	arm	lɑk mɔŋ³  | 253.39	Burmese (Written) ZMYYC	1 8	CVc_CVcT	l a k ◦ m o ṅ ḥ	the arm
874	! @nh36	1 0 0 0 0 7 0 0	169	the arm	414	Maru	lɔʔ³¹pau³⁵	l ɔ ʔ ³¹ + p a u ³⁵	?	?	arm	lɔʔ³¹ pau³⁵  | 0105.31	Langsu (Luxi) TBL	1 7	CVcTCVT	l ɔ ʔ ³¹ ◦ p au ³⁵	the arm
875	! @nh36	1 0 0 0 0 7 0 0	169	the arm	414	Lashi	lɔʔ³¹pu⁵³	l ɔ ʔ ³¹ + p u ⁵³	?	?	arm	lɔʔ³¹ pu⁵³  | 6.1	Lashi DQ-Lashi	1 7	CVcTCVT	l ɔ ʔ ³¹ ◦ p u ⁵³	the arm
876	! @nh36	1 0 0 0 0 7 0 0	169	the arm	414	Maru	lɔʔ³¹pau⁵⁵	l ɔ ʔ ³¹ + p a u ⁵⁵	?	?	arm	lɔʔ³¹ pau⁵⁵  | 6.1	Maru [Langsu] DQ-Langsu	1 7	CVcTCVT	l ɔ ʔ ³¹ ◦ p au ⁵⁵	the arm
878	! @nh36	9	170	the arm	414	Hpun	-undefined	?	?	?	hand, arm	-undefined  | G.63	Hpun (Metjo) GHL-PPB	9	VcCVCVCVc	u n ◦ d e ◦ f i ◦ n e d	the arm
#
879	! @nh36	1	172	the arrow	1713	Achang_Lianghe	tɕiɛn⁵⁵	tɕ i ɛ n ⁵⁵	?	?	arrow	tɕiɛn⁵⁵  | 0062.42	Achang (Lianghe) JZ-Achang	1	CVcT	tɕ iɛ n ⁵⁵	the arrow
880	! @nh36	0 0 0 0 2 0	171	the arrow	1713	Achang_Longchuan	m̥ʐua³¹	m̥ ʐ u a ³¹	?	?	arrow	m̥ʐua³¹  | 0637.28	Achang (Longchuan) TBL	2	CCVT	m̥ ʐ ua ³¹	the arrow
881	! @nh36	0 0 0 3 2 0	171	the arrow	1713	Achang_Longchuan	kaŋ³⁵m̥ʐua³¹	k a ŋ ³⁵ + m̥ ʐ u a ³¹	?	?	arrow	kaŋ³⁵ m̥ʐua³¹  | 428.41	Achang (Longchuan) ZMYYC	3 2	CVcTcCVT	k a ŋ ³⁵ ◦ m̥ ʐ ua ³¹	the arrow
882	! @nh36	0 4 0 0 0 0	171	the arrow	1713	Achang_Luxi	lɯ⁵¹	l ɯ ⁵¹	?	?	arrow	lɯ⁵¹  | 348.25	Achang (Luxi) JZ-Achang	4	CVT	l ɯ ⁵¹	the arrow
883	! @nh36	0 0 0 0 2 0	171	the arrow	1713	Xiandao	mʐɔ³¹	m ʐ ɔ ³¹	?	?	arrow	mʐɔ³¹  | 0637.29	Achang (Xiandao) TBL	2	CCVT	m ʐ ɔ ³¹	the arrow
884	! @nh36	0 4 0 0 2 0	171	the arrow	1713	Atsi	lai²¹mjo²¹	l a i ²¹ + m j o ²¹	?	?	arrow	lai²¹ mjo²¹  | 0637.30	Atsi [Zaiwa] TBL	4 2	CVTCCVT	l ai ²¹ ◦ m j o ²¹	the arrow
885	! @nh36	7 0 0 0 0 5	171	the arrow	1713	Bola	li³¹ʃɿ³⁵	l i ³¹ + ʃ ɿ ³⁵	?	?	arrow	li³¹ ʃɿ³⁵  | 0637.32	Bola (Luxi) TBL	7 5	CVTCVT	l i ³¹ ◦ ʃ ɿ ³⁵	the arrow
886	? @nh36	0 0 0 0 2 0	171	the arrow	1713	Burmese_ZMYYC	mrāḥ	m l ā ḥ	1	mlāḥ	arrow	mlāḥ	Burmese (Written) ZMYYC	2	CCVT	m r ā ḥ	the arrow
887	! @nh36	0 0 6 0 2 0	171	the arrow	1713	Hpun	káŋmyà	k á + ŋ m y à	?	?	arrow	káŋmyà  | 39	Hpun (Northern) EJAH-Hpun	6 2	CVcCCV	k á ŋ ◦ m y à	the arrow
888	! @nh36	0 4 0 0 2 0	171	the arrow	1713	Maru	la³⁵mjɔk³¹	l a ³⁵ + m j ɔ k ³¹	?	?	arrow	la³⁵ mjɔk³¹  | 0637.31	Langsu (Luxi) TBL	4 2	CVTCCVcT	l a ³⁵ ◦ m j ɔ k ³¹	the arrow
889	! @nh36	0 0 0 0 2 5	171	the arrow	1713	Lashi	mjo³³ʃɿ⁵⁵	m j o ³³ + ʃ ɿ ⁵⁵	?	?	arrow	mjo³³ ʃɿ⁵⁵  | 0637.33	Leqi (Luxi) TBL	2 5	CCVTCVT	m j o ³³ ◦ ʃ ɿ ⁵⁵	the arrow
#
890	! @nh36	0 0 1 0 0 2	173	the ash	74	Achang_Longchuan	nă³¹ʐap³⁵	n ă ³¹ + ʐ a p ³⁵	?	?	plant ash n	nă³¹ ʐap³⁵  | 0063.28	Achang (Longchuan) TBL	1 2	CVTCVcT	n ă ³¹ ◦ ʐ a p ³⁵	the ash
891	! @nh36	2 3 0 0 0 0	173	the ash	74	Xiandao	ʐɔʔ⁵⁵phɔʔ⁵⁵	ʐ ɔ ʔ ⁵⁵ + pʰ ɔ ʔ ⁵⁵	?	?	plant ash n	ʐɔʔ⁵⁵ phɔʔ⁵⁵  | 0063.29	Achang (Xiandao) TBL	2 3	CVcTCVcT	ʐ ɔ ʔ ⁵⁵ ◦ ph ɔ ʔ ⁵⁵	the ash
892	! @nh36	0 0 0 4 5 0	173	the ash	74	Atsi	mji²¹mop⁵⁵	m j i ²¹ + m o p ⁵⁵	?	?	plant ash n	mji²¹ mop⁵⁵  | 0063.30	Atsi [Zaiwa] TBL	4 5	CCVTCVcT	m j i ²¹ ◦ m o p ⁵⁵	the ash
893	! @nh36	0 0 0 4 5 0	173	the ash	74	Bola	mi³¹map³¹	m i ³¹ + m a p ³¹	?	?	plant ash n	mi³¹ map³¹  | 0063.32	Bola (Luxi) TBL	4 5	CVTCVcT	m i ³¹ ◦ m a p ³¹	the ash
894	! @nh36	0 0 0 4 5 0	173	the ash	74	Maru	njĭ³⁵map⁵⁵	n j ĭ ³⁵ + m a p ⁵⁵	?	?	plant ash n	njĭ³⁵ map⁵⁵  | 0063.31	Langsu (Luxi) TBL	4 5	CCVTCVcT	n j ĭ ³⁵ ◦ m a p ⁵⁵	the ash
895	! @nh36	0 0 0 4 0 2	173	the ash	74	Lashi	mji³³jap³¹	m j i ³³ + j a p ³¹	?	?	plant ash n	mji³³ jap³¹  | 0063.33	Leqi (Luxi) TBL	4 2	CCVTCVcT	m j i ³³ ◦ j a p ³¹	the ash
896	! @nh36	0 3 0 4 0 0	173	the ash	74	Achang_Longchuan	tɕap⁵⁵ʂə³¹	tɕ a p ⁵⁵ + ʂ ə ³¹	?	?	seed of Chinese prickly ash n	tɕap⁵⁵ ʂə³¹  | 0448.28	Achang (Longchuan) TBL	3 4	CVcTCVT	tɕ a p ⁵⁵ ◦ ʂ ə ³¹	the ash
897	! @nh36	0 3 0 0 0 0	173	the ash	74	Xiandao	cap⁵⁵	c a p ⁵⁵	?	?	seed of Chinese prickly ash n	cap⁵⁵  | 0448.29	Achang (Xiandao) TBL	3	CVcT	c a p ⁵⁵	the ash
898	! @nh36	0 3 0 4 0 0	173	the ash	74	Atsi	tʃap²¹ʃi²¹	tʃ a p ²¹ + ʃ i ²¹	?	?	seed of Chinese prickly ash n	tʃap²¹ ʃi²¹  | 0448.30	Atsi [Zaiwa] TBL	3 4	CVcTCVT	tʃ a p ²¹ ◦ ʃ i ²¹	the ash
899	! @nh36	0 3 0 4 0 0	173	the ash	74	Bola	tsɛʔ³¹ʃɿ³⁵	ts ɛ ʔ ³¹ + ʃ ɿ ³⁵	?	?	seed of Chinese prickly ash n	tsɛʔ³¹ ʃɿ³⁵  | 0448.32	Bola (Luxi) TBL	3 4	CVcTCVT	ts ɛ ʔ ³¹ ◦ ʃ ɿ ³⁵	the ash
900	! @nh36	0 3 0 4 0 0	173	the ash	74	Maru	tsɛʔ³¹ʃi³⁵	ts ɛ ʔ ³¹ + ʃ i ³⁵	?	?	seed of Chinese prickly ash n	tsɛʔ³¹ ʃi³⁵  | 0448.31	Langsu (Luxi) TBL	3 4	CVcTCVT	ts ɛ ʔ ³¹ ◦ ʃ i ³⁵	the ash
901	! @nh36	0 3 0 4 0 0	173	the ash	74	Lashi	tʃap³¹ʃɿ⁵⁵	tʃ a p ³¹ + ʃ ɿ ⁵⁵	?	?	seed of Chinese prickly ash n	tʃap³¹ ʃɿ⁵⁵  | 0448.33	Leqi (Luxi) TBL	3 4	CVcTCVT	tʃ a p ³¹ ◦ ʃ ɿ ⁵⁵	the ash
#
3447	! @nh36	10 11 12	603	the autumn	1052	Atsi	tshuŋ²¹thoʔ⁵⁵khun⁵¹	tsʰ u ŋ ²¹ + tʰ o ʔ ⁵⁵ + kʰ u n ⁵¹	?	?	fall / autumn n	tshuŋ²¹ thoʔ⁵⁵ khun⁵¹  | 0793.30	Atsi [Zaiwa] TBL	10 11 12	CVcTCVcTCVcT	tsh u ŋ ²¹ ◦ th o ʔ ⁵⁵ ◦ kh u n ⁵¹	to fall
3448	! @nh36	13 14 15	605	the autumn	1052	Bola	kaiʔ³¹la̱i³⁵³¹jaʔ³¹	k a i ʔ ³¹ + l a̱ i ³⁵³¹ + j a ʔ ³¹	?	?	fall / autumn n	kaiʔ³¹la̱i³⁵ ³¹jaʔ³¹  | 0793.32	Bola (Luxi) TBL	13 14 15	CVcTCVTCVcT	k ai ʔ ³¹ ◦ l a̱i ³⁵³¹ ◦ j a ʔ ³¹	to fall
3449	! @nh36	10 0 0	603	the autumn	1052	Maru	tshauŋ³⁵	tsʰ a u ŋ ³⁵	?	?	fall / autumn n	tshauŋ³⁵  | 0793.31	Langsu (Luxi) TBL	10	CVcT	tsh au ŋ ³⁵	to fall
#
2613	! @nh36	0 0 0 0 2 0 1 0	441	the baby tooth	405	Lashi	nou⁵⁵tsɿ³¹	n o u ⁵⁵ + ts ɿ ³¹	?	?	baby tooth	nou⁵⁵ tsɿ³¹  | 3.10.5	Lashi DQ-Lashi	2 1	CVTCVT	n ou ⁵⁵ ◦ ts ɿ ³¹	the tooth
2614	! @nh36	0 0 0 0 2 0 1 0	441	the baby tooth	405	Maru	nuk⁵⁵tsɔi³¹	n u k ⁵⁵ + ts ɔ i ³¹	?	?	baby tooth	nuk⁵⁵ tsɔi³¹  | 3.10.5	Maru [Langsu] DQ-Langsu	2 1	CVcTCVT	n u k ⁵⁵ ◦ ts ɔi ³¹	the tooth
#
15	! @nh36	0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0	6	the back	1267	Achang_Lianghe	tsɑ³¹tuŋ³⁵	ts ɑ ³¹ + t u ŋ ³⁵	?	?	back (of body) 1	tsɑ³¹ tuŋ³⁵  | 998.35	Achang (Lianghe) JZ-Achang	1 2	CVTCVcT	ts ɑ ³¹ ◦ t u ŋ ³⁵	back
16	! @nh36	0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0	6	the back	1267	Achang_Luxi	tsaʔ³¹tɔm³¹	ts a ʔ ³¹ + t ɔ m ³¹	?	?	back (of body) 1	tsaʔ³¹ tɔm³¹  | 769.2	Achang (Luxi) JZ-Achang	1 2	CVcTCVcT	ts a ʔ ³¹ ◦ t ɔ m ³¹	back
