# Wordlist

# DATA
ID	DOCULECT	CHECK_SEGMENTS	CLUSTERFORMAT	CLUSTERID	CONCEPT	CONCEPT_KEY	IPA	METAGLOSS	MORPHEMES	OB_ATTESTED	OLD_BURMESE	ORIGINAL_CONCEPT	ORIGINAL_ENTRY	ORIGINAL_TAXNAME	PCOGSETS	PROSTRING	TOKENS
394	Hpun	! @nh36	4	77	long	1243	xaí-ŋ	long	x a í ŋ	?	?	long	xaí-ŋ, xrái-ŋ  | 0055.03	Hpun (Northern) EJAH-Hpun	4	CVc	x aí ŋ
395	Hpun	! @nh36	4	77	long	1243	xrái-ŋ	long	x r á i ŋ	?	?	long	xaí-ŋ, xrái-ŋ  | 0055.03	Hpun (Northern) EJAH-Hpun	4	CCVc	x r ái ŋ
402	Lashi	! @nh36	4	77	long	1243	ʃə̱ːŋ³³	long	ʃ ə̱ː ŋ ³³	?	?	long adj	ʃə̱ːŋ³³  | 0972.33	Leqi (Luxi) TBL	4	CVcT	ʃ ə̱ː ŋ ³³
401	Maru	! @nh36	4	77	long	1243	xaŋ³¹	long	x a ŋ ³¹	?	?	long adj	xaŋ³¹  | 0972.31	Langsu (Luxi) TBL	4	CVcT	x a ŋ ³¹
396	Maru_B	! @nh36	4	77	long	1243	xaŋ³¹	long	x a ŋ ³¹	?	?	long	xaŋ³¹  | 809.43	Maru [Langsu] ZMYYC	4	CVcT	x a ŋ ³¹
398	Xiandao	! @nh36	4	77	long	1243	sɤŋ⁵⁵	long	s ɤ ŋ ⁵⁵	?	?	long adj	sɤŋ⁵⁵  | 0972.29	Achang (Xiandao) TBL	4	CVcT	s ɤ ŋ ⁵⁵
#
386	Achang_Lianghe	! @nh36	3	80	long (classifier)	1243	ku⁵⁵	long	k u ⁵⁵	?	?	classifier for long objects	ku⁵⁵  | 1099.42	Achang (Lianghe) JZ-Achang	3	CVT	k u ⁵⁵
382	Achang_Longchuan_B	! @nh36	1	78	long (classifier)	1243	khʐəŋ⁵⁵	long	kʰ ʐ ə ŋ ⁵⁵	?	?	classifier for long objects	khʐəŋ⁵⁵  | 953.41	Achang (Longchuan) ZMYYC	1	CCVcT	kh ʐ ə ŋ ⁵⁵
387	Achang_Luxi	! @nh36	2	79	long (classifier)	1243	khat⁵⁵	long	kʰ a t ⁵⁵	?	?	classifier for long objects	khat⁵⁵  | 0843.30	Achang (Luxi) JZ-Achang	2	CVcT	kh a t ⁵⁵
383	Atsi_B	! @nh36	2	79	long (classifier)	1243	khat⁵⁵	long	kʰ a t ⁵⁵	?	?	classifier for long objects	khat⁵⁵  | 953.42	Atsi [Zaiwa] ZMYYC	2	CVcT	kh a t ⁵⁵
384	Burmese_ZMYYC	? @nh36	1	78	long (classifier)	1243	khyoṅḥ	long	kʰ j ɔ ŋ ³	?	khyo₂ṅḥ	classifier for long objects	khjɔŋ³  | 953.39	Burmese (Written) ZMYYC	1	CCVcT	kh y o ṅ ḥ
388	Hpun	! @nh36	1	78	long (classifier)	1243	kɔ́ŋ	long	k ɔ́ ŋ	?	?	classifier: generl; animls; long objs	kɔ́ŋ  | 71-1e	Hpun (Northern) EJAH-Hpun	1	CVc	k ɔ́ ŋ
385	Maru_B	! @nh36	2	79	long (classifier)	1243	khɛʔ⁵⁵	long	kʰ ɛ ʔ ⁵⁵	?	?	classifier for long objects	khɛʔ⁵⁵  | 953.43	Maru [Langsu] ZMYYC	2	CVcT	kh ɛ ʔ ⁵⁵
#
420	Achang_Lianghe	! @nh36	0 0 2 0 0	81	many	1287	ȵɑ³¹	many	ȵ ɑ ³¹	?	?	many / much	ȵɑ³¹  | 0202.16	Achang (Lianghe) JZ-Achang	2	CVT	ȵ ɑ ³¹
428	Achang_Longchuan	! @nh36	0 0 2 0 0	81	many	1287	ȵɔ³¹	many	ȵ ɔ ³¹	?	?	many / much adj	ȵɔ³¹  | 0987.28	Achang (Longchuan) TBL	2	CVT	ȵ ɔ ³¹
421	Achang_Longchuan_B	! @nh36	0 0 2 0 0	81	many	1287	ȵɔ³¹	many	ȵ ɔ ³¹	?	?	many / much	ȵɔ³¹  | 819.41	Achang (Longchuan) ZMYYC	2	CVT	ȵ ɔ ³¹
422	Achang_Luxi	! @nh36	0 0 2 0 0	81	many	1287	ȵa⁵¹	many	ȵ a ⁵¹	?	?	many / much	ȵa⁵¹  | 0599.03	Achang (Luxi) JZ-Achang	2	CVT	ȵ a ⁵¹
430	Atsi	! @nh36	0 0 2 0 0	81	many	1287	mjo²¹	many	m j o ²¹	?	?	many / much adj	mjo²¹  | 0987.30	Atsi [Zaiwa] TBL	2	CCVT	m j o ²¹
423	Atsi_B	! @nh36	0 0 2 0 0	81	many	1287	mjo²¹	many	m j o ²¹	?	?	many / much	mjo²¹  | 819.42	Atsi [Zaiwa] ZMYYC	2	CCVT	m j o ²¹
431	Bola	! @nh36	0 0 2 0 0	81	many	1287	mja³¹	many	m j a ³¹	?	?	many / much adj	mja³¹  | 0987.32	Bola (Luxi) TBL	2	CCVT	m j a ³¹
424	Burmese_ZMYYC	? @nh36	0 0 2 0 0	81	many	1287	myāḥ	many	m j ɑ ³	1	myāḥ	many / much	mjɑ³  | 819.39	Burmese (Written) ZMYYC	2	CCVT	m y ā ḥ
425	Hpun	! @nh36	5	82	many	1287	zà	many	z à	?	?	many / much	zà, zà-ŋ  | 96	Hpun (Northern) EJAH-Hpun	5	CV	z à
426	Hpun	! @nh36	5	82	many	1287	zà-ŋ	many	z à ŋ	?	?	many / much	zà, zà-ŋ  | 96	Hpun (Northern) EJAH-Hpun	5	CVc	z à ŋ
433	Lashi	! @nh36	0 0 2 0 0	81	many	1287	mjɔː³³	many	m j ɔː ³³	?	?	many / much adj	mjɔː³³  | 0987.33	Leqi (Luxi) TBL	2	CCVT	m j ɔː ³³
432	Maru	! @nh36	0 0 2 0 0	81	many	1287	mjɔ³⁵	many	m j ɔ ³⁵	?	?	many / much adj	mjɔ³⁵  | 0987.31	Langsu (Luxi) TBL	2	CCVT	m j ɔ ³⁵
427	Maru_B	! @nh36	0 0 2 0 0	81	many	1287	mjɔ³⁵	many	m j ɔ ³⁵	?	?	many / much	mjɔ³⁵  | 819.43	Maru [Langsu] ZMYYC	2	CCVT	m j ɔ ³⁵
429	Xiandao	! @nh36	0 0 2 0 0	81	many	1287	ȵɔ³¹	many	ȵ ɔ ³¹	?	?	many / much adj	ȵɔ³¹  | 0987.29	Achang (Xiandao) TBL	2	CVT	ȵ ɔ ³¹
#
1661	Hpun	! @nh36	0 3 2	274	my house	730	ŋáʼaíŋ	the house	?	?	?	my house	ŋáʼ aíŋ  | 863	Hpun (Northern) EJAH-Hpun	3 2	CVCVc	ŋ á ◦ ʔ aí ŋ
#
439	Achang_Lianghe	! @nh36	1	84	narrow	1247	tsɛ³¹	narrow	ts ɛ ³¹	?	?	narrow adj	tsɛ³¹  | 1787.29	Achang (Lianghe) JZ-Achang	1	CVT	ts ɛ ³¹
434	Achang_Longchuan	! @nh36	1	84	narrow	1247	n̥ap⁵⁵	narrow	n̥ a p ⁵⁵	?	?	cramped / narrow adj	n̥ap⁵⁵  | 0979.28	Achang (Longchuan) TBL	1	CVcT	n̥ a p ⁵⁵
440	Achang_Longchuan	! @nh36	0 2	85	narrow	1247	ȵ̥ap⁵⁵	narrow	ȵ̥ a p ⁵⁵	?	?	narrow adj	ȵ̥ap⁵⁵  | 0977.28	Achang (Longchuan) TBL	2	CVcT	ȵ̥ a p ⁵⁵
441	Achang_Luxi	! @nh36	1	84	narrow	1247	tsəʔ³¹	narrow	ts ə ʔ ³¹	?	?	narrow adj	tsəʔ³¹  | 0561.08	Achang (Luxi) JZ-Achang	1	CVcT	ts ə ʔ ³¹
435	Atsi	! @nh36	0 2	85	narrow	1247	tʃa̱p⁵⁵	narrow	tʃ a̱ p ⁵⁵	?	?	cramped / narrow adj	tʃa̱p⁵⁵  | 0979.30	Atsi [Zaiwa] TBL	2	CVcT	tʃ a̱ p ⁵⁵
443	Atsi	! @nh36	1	84	narrow	1247	tʃa̱p⁵⁵	narrow	tʃ a̱ p ⁵⁵	?	?	narrow adj	tʃa̱p⁵⁵  | 0977.30	Atsi [Zaiwa] TBL	1	CVcT	tʃ a̱ p ⁵⁵
436	Bola	! @nh36	0 2	85	narrow	1247	tʃɛ̱ʔ⁵⁵	narrow	tʃ ɛ̱ ʔ ⁵⁵	?	?	cramped / narrow adj	tʃɛ̱ʔ⁵⁵  | 0979.32	Bola (Luxi) TBL	2	CVcT	tʃ ɛ̱ ʔ ⁵⁵
444	Bola	! @nh36	1	84	narrow	1247	tʃɛ̱ʔ⁵⁵	narrow	tʃ ɛ̱ ʔ ⁵⁵	?	?	narrow adj	tʃɛ̱ʔ⁵⁵  | 0977.32	Bola (Luxi) TBL	1	CVcT	tʃ ɛ̱ ʔ ⁵⁵
445	Burmese_ZMYYC	? @nh36	3 0	85	narrow	1247	kyañḥ	narrow	k j ɑ ȵ̂ ³	?	kyanḥ	narrow adj	kjɑȵ̂³  | 816.39	Burmese (Written) ZMYYC	3	CCVcT	k y a ñ ḥ
446	Hpun	? @nh36	4	86	narrow	1247	ʃá-ŋ	narrow	ʃ á ŋ	?	?	narrow adj	ʃá(ʔ)-ŋ  | 401.12	Hpun (Northern) EJAH-Hpun	4	CVc	ʃ á ŋ
438	Lashi	! @nh36	3 2	85	narrow	1247	tʃiːn⁵⁵tʃa̱p⁵⁵	narrow	tʃ iː n ⁵⁵ + tʃ a̱ p ⁵⁵	?	?	cramped / narrow adj	tʃiːn⁵⁵ tʃa̱p⁵⁵  | 0979.33	Leqi (Luxi) TBL	3 2	CVcTCVcT	tʃ iː n ⁵⁵ ◦ tʃ a̱ p ⁵⁵
448	Lashi	! @nh36	1	84	narrow	1247	tʃa̱ːp⁵⁵	narrow	tʃ a̱ː p ⁵⁵	?	?	narrow adj	tʃa̱ːp⁵⁵  | 0977.33	Leqi (Luxi) TBL	1	CVcT	tʃ a̱ː p ⁵⁵
437	Maru	! @nh36	0 2	85	narrow	1247	tʃɛ̱ʔ⁵⁵	narrow	tʃ ɛ̱ ʔ ⁵⁵	?	?	cramped / narrow adj	tʃɛ̱ʔ⁵⁵  | 0979.31	Langsu (Luxi) TBL	2	CVcT	tʃ ɛ̱ ʔ ⁵⁵
447	Maru	! @nh36	1	84	narrow	1247	tʃɛ̱ʔ⁵⁵	narrow	tʃ ɛ̱ ʔ ⁵⁵	?	?	narrow adj	tʃɛ̱ʔ⁵⁵  | 0977.31	Langsu (Luxi) TBL	1	CVcT	tʃ ɛ̱ ʔ ⁵⁵
442	Xiandao	! @nh36	0 2	85	narrow	1247	ɲ̊ap⁵⁵	narrow	ɲ̊ a p ⁵⁵	?	?	narrow adj	ɲ̊ap⁵⁵  | 0977.29	Achang (Xiandao) TBL	2	CVcT	ɲ̊ a p ⁵⁵
#
451	Achang_Lianghe	! @nh36	1	91	near	1232	ɑi³¹	near	ɑ i ³¹	?	?	near 1	ɑi³¹  | 769.29	Achang (Lianghe) JZ-Achang	1	VT	ɑi ³¹
452	Achang_Longchuan	! @nh36	2 3	89	near	1232	ne³¹ʐaʔ⁵⁵	near	n e ³¹ + ʐ a ʔ ⁵⁵	?	?	near 1	ne³¹ ʐaʔ⁵⁵  | 1125.28	Achang (Longchuan) TBL	2 3	CVTCVcT	n e ³¹ ◦ ʐ a ʔ ⁵⁵
461	Achang_Longchuan	! @nh36	2 0	89	near	1232	ne³¹	near	n e ³¹	?	?	near 3	ne³¹  | 0975.28	Achang (Longchuan) TBL	2	CVT	n e ³¹
453	Achang_Longchuan_B	! @nh36	2 0	89	near	1232	ne³¹	near	n e ³¹	?	?	near 1	ne³¹  | 818.41	Achang (Longchuan) ZMYYC	2	CVT	n e ³¹
454	Achang_Luxi	! @nh36	1	91	near	1232	ai⁵⁵	near	a i ⁵⁵	?	?	near 1	ai⁵⁵  | 1579.32	Achang (Luxi) JZ-Achang	1	VT	ai ⁵⁵
460	Atsi	! @nh36	0 3	89	near	1232	te̱p⁵⁵	near	t e̱ p ⁵⁵	?	?	near 2	te̱p⁵⁵  | 1125.30	Atsi [Zaiwa] TBL	3	CVcT	t e̱ p ⁵⁵
462	Atsi	! @nh36	4	90	near	1232	tʃa̱ŋ⁵⁵	near	tʃ a̱ ŋ ⁵⁵	?	?	near 3	tʃa̱ŋ⁵⁵  | 0975.30	Atsi [Zaiwa] TBL	4	CVcT	tʃ a̱ ŋ ⁵⁵
463	Bola	! @nh36	4	90	near	1232	tʃɔ̱̃³⁵	near	tʃ ɔ̱̃ ³⁵	?	?	near 3	tʃɔ̱̃³⁵  | 0975.32  | 1125.32	Bola (Luxi) TBL	4	CVVT	tʃ ɔ̱̃ ∼ ³⁵
456	Burmese_ZMYYC	? @nh36	2 0	89	near	1232	nīḥ	near	n i ³	?	nīḥ	near 1	ni³  | 818.39	Burmese (Written) ZMYYC	2	CVT	n ī ḥ
457	Hpun	! @nh36	2 0	89	near	1232	nè	near	n è	?	?	near 1	nè, nè-ŋ  | 154	Hpun (Northern) EJAH-Hpun	2	CV	n è
458	Hpun	! @nh36	2 0	89	near	1232	nè-ŋ	near	n è ŋ	?	?	near 1	nè, nè-ŋ  | 154	Hpun (Northern) EJAH-Hpun	2	CVc	n è ŋ
465	Lashi	! @nh36	4	90	near	1232	tʃaːŋ⁵³	near	tʃ aː ŋ ⁵³	?	?	near 3	tʃaːŋ⁵³  | 0975.33 | 1125.33	Leqi (Luxi) TBL	4	CVcT	tʃ aː ŋ ⁵³
459	Maru	! @nh36	2 3	89	near	1232	nɛ̱³¹tɛ̱ʔ⁵⁵	near	n ɛ̱ ³¹ + t ɛ̱ ʔ ⁵⁵	?	?	near 1	nɛ̱³¹ tɛ̱ʔ⁵⁵  | 1125.31	Langsu (Luxi) TBL	2 3	CVTCVcT	n ɛ̱ ³¹ ◦ t ɛ̱ ʔ ⁵⁵
464	Maru	! @nh36	4	90	near	1232	tʃɔ̃³⁵	near	tʃ ɔ̃ ³⁵	?	?	near 3	tʃɔ̃³⁵  | 0975.31	Langsu (Luxi) TBL	4	CVVT	tʃ ɔ̃ ∼ ³⁵
466	Maru_B	! @nh36	4	90	near	1232	tʃɔ̱̃³⁵	near	tʃ ɔ̱̃ ³⁵	?	?	near 3	tʃɔ̱̃³⁵  | 818.43	Maru [Langsu] ZMYYC	4	CVVT	tʃ ɔ̱̃ ∼ ³⁵
455	Xiandao	! @nh36	2 0	89	near	1232	nɛ³¹	near	n ɛ ³¹	?	?	near 1	nɛ³¹  | 0975.29	Achang (Xiandao) TBL	2	CVT	n ɛ ³¹
#
467	Achang_Lianghe	! @nh36	1 2	92	new	1319	ɑ³¹ʂɯk⁵⁵	new	ɑ ³¹ + ʂ ɯ k ⁵⁵	?	?	new	ɑ³¹ ʂɯk⁵⁵  | 747.44	Achang (Lianghe) JZ-Achang	1 2	VTCVcT	ɑ ³¹ ◦ ʂ ɯ k ⁵⁵
468	Achang_Longchuan	! @nh36	0 2	92	new	1319	ʂək⁵⁵	new	ʂ ə k ⁵⁵	?	?	new	ʂək⁵⁵  | 1050.28	Achang (Longchuan) TBL	2	CVcT	ʂ ə k ⁵⁵
469	Achang_Luxi	! @nh36	0 2	92	new	1319	sək⁵⁵	new	s ə k ⁵⁵	?	?	new	sək⁵⁵  | 8.2.3.4	Achang (Luxi) JZ-Achang	2	CVcT	s ə k ⁵⁵
471	Atsi	! @nh36	1 2	92	new	1319	a²¹sik⁵⁵	new	a ²¹ + s i k ⁵⁵	?	?	new	a²¹ sik⁵⁵  | 1050.30	Atsi [Zaiwa] TBL	1 2	VTCVcT	a ²¹ ◦ s i k ⁵⁵
472	Atsi_B	! @nh36	1 2	92	new	1319	ɑ²¹sik⁵⁵	new	ɑ ²¹ + s i k ⁵⁵	?	?	new	ɑ²¹ sik⁵⁵  | 866.42	Atsi [Zaiwa] ZMYYC	1 2	VTCVcT	ɑ ²¹ ◦ s i k ⁵⁵
473	Bola	! @nh36	0 2	92	new	1319	sak⁵⁵	new	s a k ⁵⁵	?	?	new	sak⁵⁵  | 1050.32	Bola (Luxi) TBL	2	CVcT	s a k ⁵⁵
474	Burmese_ZMYYC	! @nh36	0 2	92	new	1319	sac	new	s ɑ c	?	sac	new	thɑs  | 866.39	Burmese (Written) ZMYYC	2	CVc	s a c
475	Hpun	1 @lingulist, 0 @nh36	1 2	92	new	1319	ăxɛ̀ʔ	new	ă + x ɛ̀ ʔ	?	?	new	ăxɛ̀ʔ, ăxʀɛ̀ʔ  | 24n78	Hpun (Northern) EJAH-Hpun	1 2	VCVc	ă ◦ x ɛ̀ ʔ
476	Hpun	1 @lingulist, 0 @nh36	1 2	92	new	1319	ăxʀɛ̀ʔ	new	ă + x ʀ ɛ̀ ʔ	?	?	new	ăxɛ̀ʔ, ăxʀɛ̀ʔ  | 24n78	Hpun (Northern) EJAH-Hpun	1 2	VCCVc	ă ◦ x ʀ ɛ̀ ʔ
478	Lashi	! @nh36	0 2	92	new	1319	sə̱ːk⁵⁵	new	s ə̱ː k ⁵⁵	?	?	new	sə̱ːk⁵⁵  | 1050.33	Leqi (Luxi) TBL	2	CVcT	s ə̱ː k ⁵⁵
477	Maru	! @nh36	0 2	92	new	1319	sa̱k⁵⁵	new	s a̱ k ⁵⁵	?	?	new	sa̱k⁵⁵  | 1050.31	Langsu (Luxi) TBL	2	CVcT	s a̱ k ⁵⁵
479	Maru_B	! @nh36	0 2	92	new	1319	sak⁵⁵	new	s a k ⁵⁵	?	?	new	sak⁵⁵  | 866.43	Maru [Langsu] ZMYYC	2	CVcT	s a k ⁵⁵
470	Xiandao	! @nh36	0 2	92	new	1319	ʂɯk⁵⁵	new	ʂ ɯ k ⁵⁵	?	?	new	ʂɯk⁵⁵  | 1050.29	Achang (Xiandao) TBL	2	CVcT	ʂ ɯ k ⁵⁵
#
480	Achang_Lianghe	! @nh36	1 2	94	nine	1277	lɑ³¹ŋoi³¹	nine	l ɑ ³¹ + ŋ o i ³¹	?	?	nine	lɑ³¹ ŋoi³¹  | 0757.40	Achang (Lianghe) JZ-Achang	1 2	CVTCVT	l ɑ ³¹ ◦ ŋ oi ³¹
481	Achang_Longchuan	! @nh36	3	93	nine	1277	kau³¹	nine	k a u ³¹	?	?	nine	kau³¹  | 0805.28	Achang (Longchuan) TBL	3	CVT	k au ³¹
482	Achang_Luxi	! @nh36	3	93	nine	1277	khjau⁵¹	nine	kʰ j a u ⁵¹	?	?	nine	khjau⁵¹  | 0413.30	Achang (Luxi) JZ-Achang	3	CCVT	kh j au ⁵¹
484	Atsi	! @nh36	3	93	nine	1277	kau²¹	nine	k a u ²¹	?	?	nine	kau²¹  | 0805.30	Atsi [Zaiwa] TBL	3	CVT	k au ²¹
485	Bola	! @nh36	3	93	nine	1277	kau³¹	nine	k a u ³¹	?	?	nine	kau³¹  | 0805.32	Bola (Luxi) TBL	3	CVT	k au ³¹
486	Burmese_ZMYYC	? @nh36	3	93	nine	1277	kuiḥ	nine	k o ³	?	kuiwḥ	nine	ko³  | 919.39	Burmese (Written) ZMYYC	3	CVT	k ui ḥ
487	Hpun	! @nh36	3	93	nine	1277	cɔ́ŋ	nine	c ɔ́ ŋ	?	?	nine	cɔ́ŋ, cáuŋ  | 158(b)	Hpun (Northern) EJAH-Hpun	3	CVc	c ɔ́ ŋ
488	Hpun	! @nh36	3	93	nine	1277	cáuŋ	nine	c á u ŋ	?	?	nine	cɔ́ŋ, cáuŋ  | 158(b)	Hpun (Northern) EJAH-Hpun	3	CVc	c áu ŋ
490	Lashi	! @nh36	3	93	nine	1277	kou³³	nine	k o u ³³	?	?	nine	kou³³  | 0805.33	Leqi (Luxi) TBL	3	CVT	k ou ³³
489	Maru	! @nh36	3	93	nine	1277	kuk³¹	nine	k u k ³¹	?	?	nine	kuk³¹  | 0805.31	Langsu (Luxi) TBL	3	CVcT	k u k ³¹
483	Xiandao	! @nh36	3	93	nine	1277	kau³¹	nine	k a u ³¹	?	?	nine	kau³¹  | 0805.29	Achang (Xiandao) TBL	3	CVT	k au ³¹
#
498	Hpun	! @nh36	1 0 0	95	not	1893	máʼ	not	m áʼ	?	?	not	máʼ, mă- | 398	Hpun (Northern) EJAH-Hpun	1	CVc	m á ʔ
499	Hpun	! @nh36	1 0 0	95	not	1893	mă-	not	m ă	?	?	not	máʼ, mă- | 398	Hpun (Northern) EJAH-Hpun	1	CV	m ă
#
500	Hpun	! @nh36	1 2 0	95	not be	1893	măpáʔ	not	m ă + p á ʔ	?	?	not be v.i.	măpáʔ  | K.62	Hpun (Northern) EJAH-Hpun	1 2	CVCVc	m ă ◦ p á ʔ
#
503	Achang_Lianghe	! @nh36	0 0 0 0 0 2 0 0 0	96	old (person)	1321	mɑŋ³¹	old	m ɑ ŋ ³¹	?	?	old (of people)	mɑŋ³¹  | 1786.21	Achang (Lianghe) JZ-Achang	2	CVcT	m ɑ ŋ ³¹
517	Achang_Longchuan	! @nh36	0 0 0 0 0 2 0 0 0	96	old (person)	1321	muaŋ³¹	old	m u a ŋ ³¹	?	?	old / elderly	muaŋ³¹  | 1058.28	Achang (Longchuan) TBL	2	CVcT	m ua ŋ ³¹
504	Achang_Longchuan_B	! @nh36	0 0 0 0 0 2 0 0 0	96	old (person)	1321	muaŋ³¹	old	m u a ŋ ³¹	?	?	old (of people)	muaŋ³¹  | 857.41	Achang (Longchuan) ZMYYC	2	CVcT	m ua ŋ ³¹
505	Achang_Luxi	! @nh36	0 0 0 0 0 2 0 0 0	96	old (person)	1321	maŋ⁵¹	old	m a ŋ ⁵¹	?	?	old (of people)	maŋ⁵¹  | 0162.30	Achang (Luxi) JZ-Achang	2	CVcT	m a ŋ ⁵¹
519	Atsi	! @nh36	0 0 0 0 0 2 0 0 0	96	old (person)	1321	maŋ²¹	old	m a ŋ ²¹	?	?	old / elderly	maŋ²¹  | 1058.30	Atsi [Zaiwa] TBL	2	CVcT	m a ŋ ²¹
506	Atsi_B	! @nh36	0 0 0 0 0 2 0 0 0	96	old (person)	1321	maŋ²¹	old	m a ŋ ²¹	?	?	old (of people)	maŋ²¹  | 857.42	Atsi [Zaiwa] ZMYYC	2	CVcT	m a ŋ ²¹
520	Bola	! @nh36	0 0 0 0 0 2 0 0 0	96	old (person)	1321	mɔ̃³¹	old	m ɔ̃ ³¹	?	?	old / elderly	mɔ̃³¹  | 1058.32	Bola (Luxi) TBL	2	CVVT	m ɔ̃ ∼ ³¹
507	Burmese_ZMYYC	! @nh36	7	98	old (person)	1321	ui	old	o ²	?	uiw	old (of people)	o²  | 857.39	Burmese (Written) ZMYYC	7	V	ui
509	Hpun	! @nh36	0 0 0 0 0 2 0 0 0	96	old (person)	1321	mò	old	m ò	?	?	old (of persons)	mò  | 65	Hpun (Northern) EJAH-Hpun	2	CV	m ò
522	Lashi	! @nh36	0 0 0 0 0 2 3 0 0	96	old (person)	1321	maŋ³³tso⁵⁵	old	m a ŋ ³³ + ts o ⁵⁵	?	?	old / elderly	maŋ³³ tso⁵⁵  | 1058.33	Leqi (Luxi) TBL	2 3	CVcTCVT	m a ŋ ³³ ◦ ts o ⁵⁵
521	Maru	! @nh36	0 0 0 0 0 2 0 0 0	96	old (person)	1321	mɔ̃³⁵	old	m ɔ̃ ³⁵	?	?	old / elderly	mɔ̃³⁵  | 1058.31	Langsu (Luxi) TBL	2	CVVT	m ɔ̃ ∼ ³⁵
508	Maru_B	! @nh36	0 0 0 0 0 2 0 0 0	96	old (person)	1321	mɔ̃³⁵	old	m ɔ̃ ³⁵	?	?	old (of people)	mɔ̃³⁵  | 857.43	Maru [Langsu] ZMYYC	2	CVVT	m ɔ̃ ∼ ³⁵
518	Xiandao	! @nh36	0 0 0 0 0 2 0 0 0	96	old (person)	1321	mɔŋ³¹	old	m ɔ ŋ ³¹	?	?	old / elderly	mɔŋ³¹  | 1058.29	Achang (Xiandao) TBL	2	CVcT	m ɔ ŋ ³¹
#
501	Achang_Lianghe	! @nh36	6	97	old (thing)	1321	tɕɛ⁵⁵	old	tɕ ɛ ⁵⁵	?	?	old (e.g.food)	tɕɛ⁵⁵  | 1280.47	Achang (Lianghe) JZ-Achang	6	CVT	tɕ ɛ ⁵⁵
511	Achang_Lianghe	! @nh36	8 0 0 0 0 0 3 0 0	96	old (thing)	1321	ɑ³¹tshɑu³⁵	old	ɑ ³¹ + tsʰ ɑ u ³⁵	?	?	old (thing)	ɑ³¹ tshɑu³⁵  | 0067.21	Achang (Lianghe) JZ-Achang	8 3	VTCVT	ɑ ³¹ ◦ tsh ɑu ³⁵
541	Achang_Longchuan	! @nh36	0 0 0 0 0 0 3 0 0	96	old (thing)	1321	tʂhau³¹	old	tʂʰ a u ³¹	?	?	used / old	tʂhau³¹  | 1051.28	Achang (Longchuan) TBL	3	CVT	tʂh au ³¹
513	Achang_Longchuan_B	! @nh36	0 0 0 0 0 0 3 0 0	96	old (thing)	1321	tʂhau³¹	old	tʂʰ a u ³¹	?	?	old (things)	tʂhau³¹  | 867.41	Achang (Longchuan) ZMYYC	3	CVT	tʂh au ³¹
502	Achang_Luxi	! @nh36	6	97	old (thing)	1321	kjɛʔ⁵⁵	old	k j ɛ ʔ ⁵⁵	?	?	old (e.g.food)	kjɛʔ⁵⁵  | 1233.31	Achang (Luxi) JZ-Achang	6	CCVcT	k j ɛ ʔ ⁵⁵
512	Achang_Luxi	! @nh36	0 0 0 0 0 0 3 0 0	96	old (thing)	1321	tshau⁵⁵	old	tsʰ a u ⁵⁵	?	?	old (thing)	tshau⁵⁵  | 1188.05	Achang (Luxi) JZ-Achang	3	CVT	tsh au ⁵⁵
543	Atsi	! @nh36	8 0 0 0 0 0 3 0 0	96	old (thing)	1321	a²¹tshau²¹	old	a ²¹ + tsʰ a u ²¹	?	?	used / old	a²¹ tshau²¹  | 1051.30	Atsi [Zaiwa] TBL	8 3	VTCVT	a ²¹ ◦ tsh au ²¹
514	Atsi_B	! @nh36	8 0 0 0 0 0 3 0 0	96	old (thing)	1321	a²¹tshau²¹	old	a ²¹ + tsʰ a u ²¹	?	?	old (things)	a²¹ tshau²¹  | 867.42	Atsi [Zaiwa] ZMYYC	8 3	VTCVT	a ²¹ ◦ tsh au ²¹
544	Bola	! @nh36	0 0 0 0 0 0 3 0 0	96	old (thing)	1321	tʃhau³⁵	old	tʃʰ a u ³⁵	?	?	used / old	tʃhau³⁵  | 1051.32	Bola (Luxi) TBL	3	CVT	tʃh au ³⁵
515	Burmese_ZMYYC	? @nh36	0 9 0 0 0 0 0 0 0	96	old (thing)	1321	hoṅḥ	old	h ɔ ŋ ³	?	ho₂ṅḥ	old (things)	hɔŋ³  | 867.39	Burmese (Written) ZMYYC	9	CVcT	h o ṅ ḥ
510	Hpun	1 @lingulist, 0 @nh36	8 9 0 0 0 0 0 0 0	96	old (thing)	1321	ăhɔ̀ŋ	old	ă + h ɔ̀ ŋ	?	?	old (of things)	ăhɔ̀ŋ  | L.139	Hpun (Northern) EJAH-Hpun	8 9	VCVc	ă ◦ h ɔ̀ ŋ
546	Lashi	! @nh36	0 0 0 0 0 0 3 0 0	96	old (thing)	1321	tshaːu⁵⁵	old	tsʰ aː u ⁵⁵	?	?	used / old	tshaːu⁵⁵  | 1051.33	Leqi (Luxi) TBL	3	CVT	tsh aːu ⁵⁵
545	Maru	! @nh36	0 0 0 0 0 0 3 0 0	96	old (thing)	1321	tshuk⁵⁵	old	tsʰ u k ⁵⁵	?	?	used / old	tshuk⁵⁵  | 1051.31	Langsu (Luxi) TBL	3	CVcT	tsh u k ⁵⁵
516	Maru_B	! @nh36	0 0 0 0 0 0 3 0 0	96	old (thing)	1321	tshuk⁵⁵	old	tsʰ u k ⁵⁵	?	?	old (things)	tshuk⁵⁵  | 867.43	Maru [Langsu] ZMYYC	3	CVcT	tsh u k ⁵⁵
