# Wordlist

# DATA
ID	CHECK	CLUSTERFORMAT	CLUSTERID	COGID	CONCEPT	CONCEPTID	CONCEPT_VARIANTS	DOCULECT	FORM_VARIANTS	HOMOPHONES	ID_BACK	IPA	METAGLOSS	MORPHEMES	ORIGINAL_CONCEPT	ORIGINAL_ENTRY	ORIGINAL_TAXNAME	PCOGSETS	PROSTRING	TOKENS
1411	-	0 1 0 4	244	208	the fish	149	0	Bola	0	0	1439	ŋə̆³¹ta³¹	the fish	ŋ ə̆ ³¹ + t a ³¹	fish n	ŋə̆³¹ ta³¹  | 0351.32	Bola (Luxi) TBL	1 4	CVTCVT	ŋ ə̆ ³¹ ◦ t a ³¹
1412	-	0 1 0 0	244	208	the fish	149	0	Burmese_ZMYYC	0	five // the fish	1440	ṅāḥ	the fish	ŋ ɑ ³	fish n	ŋɑ³  | 151.39	Burmese (Written) ZMYYC	1	CVT	ṅ ā ḥ
1413	-	5 1 0 0	244	208	the fish	149	0	Hpun	tăŋàʼ // tăŋàh	0	1441	tăŋàʼ	the fish	t ă + ŋ àʼ	fish n	tă ŋàʼ, tă ŋàh  | Q.40	Hpun (Northern) EJAH-Hpun	5 1	CVCVc	t ă ◦ ŋ à ʔ
1414	-	0 1 0 4	244	208	the fish	149	0	Lashi	0	0	1444	ŋə̆³¹tso³³	the fish	ŋ ə̆ ³¹ + ts o ³³	fish n	ŋə̆³¹ tso³³  | 0351.33	Leqi (Luxi) TBL	1 4	CVTCVT	ŋ ə̆ ³¹ ◦ ts o ³³
1415	-	0 1 0 4	244	208	the fish	149	0	Maru	0	0	1443	ŋə̆³¹tsɔ³¹	the fish	ŋ ə̆ ³¹ + ts ɔ ³¹	fish n	ŋə̆³¹ tsɔ³¹  | 0351.31	Langsu (Luxi) TBL	1 4	CVTCVT	ŋ ə̆ ³¹ ◦ ts ɔ ³¹
1416	-	0 1 0 4	244	208	the fish	149	0	Maru_B	0	0	1445	ŋə̆⁵⁵tsɔ³¹	the fish	ŋ ə̆ ⁵⁵ + ts ɔ ³¹	fish n	ŋə̆⁵⁵ tsɔ³¹  | 151.43	Maru [Langsu] ZMYYC	1 4	CVTCVT	ŋ ə̆ ⁵⁵ ◦ ts ɔ ³¹
1417	-	0 1 2 0	244	208	the fish	149	0	Xiandao	0	0	1437	ŋ̊ɔ̆³¹ʂɔ³¹	the fish	ŋ̊ ɔ̆ ³¹ + ʂ ɔ ³¹	fish n	ŋ̊ɔ̆³¹ ʂɔ³¹  | 0351.29	Achang (Xiandao) TBL	1 2	CVTCVT	ŋ̊ ɔ̆ ³¹ ◦ ʂ ɔ ³¹
1418	-	0 1 0 0	244	208	the fish	149	0	Old_Burmese	0	five // the fish	1440	ṅāḥ	the fish	ŋ ɑ ³	fish n	ṅāḥ | ?	Burmese (Written) ZMYYC	1	CVT	ṅ ā ḥ
1419	-	0	0	0	the fish	0	-	Proto-Burmese	-	-	-	0	-	-	0	0	-	0	-	0
#
1455	-	0 0 0 1 2 0	245	209	the flower	150	0	Achang_Lianghe	0	0	1446	phjiŋ³¹tɑŋ³¹	the flower	pʰ j i ŋ ³¹ + t ɑ ŋ ³¹	flower	phjiŋ³¹ tɑŋ³¹  | 0488.01	Achang (Lianghe) JZ-Achang	1 2	CCVcTCVcT	ph j i ŋ ³¹ ◦ t ɑ ŋ ³¹
1456	-	4 0 0 0 2 0	245	209	the flower	150	0	Achang_Longchuan	0	0	1447	kăn⁵⁵tam³¹	the flower	k ă n ⁵⁵ + t a m ³¹	flower	kăn⁵⁵ tam³¹  | 0377.28	Achang (Longchuan) TBL	4 2	CVcTCVcT	k ă n ⁵⁵ ◦ t a m ³¹
1457	-	0 0 0 1 2 0	245	209	the flower	150	0	Achang_Luxi	0	0	1448	phjin⁵⁵tam⁵⁵	the flower	pʰ j i n ⁵⁵ + t a m ⁵⁵	flower	phjin⁵⁵ tam⁵⁵  | 0476.31	Achang (Luxi) JZ-Achang	1 2	CCVcTCVcT	ph j i n ⁵⁵ ◦ t a m ⁵⁵
1458	-	0 0 0 1 0 0	245	209	the flower	150	0	Atsi	0	0	1450	pan²¹	the flower	p a n ²¹	flower	pan²¹  | 0377.30	Atsi [Zaiwa] TBL	1	CVcT	p a n ²¹
1459	-	0 0 0 1 0 5	245	209	the flower	150	0	Bola	0	0	1451	pɛ̃³¹pɔ³⁵	the flower	p ɛ̃ ³¹ + p ɔ ³⁵	flower	pɛ̃³¹ pɔ³⁵  | 0377.32	Bola (Luxi) TBL	1 5	CVVTCVT	p ɛ̃ ∼ ³¹ ◦ p ɔ ³⁵
1460	-	0 0 6 1 0 0	245	209	the flower	150	0	Burmese_ZMYYC	0	0	1452	a pvaṅʔ	the flower	ɑ ¹ + p w ɑ ŋ ¹	flower	ɑ¹ pwɑŋ¹  | 228.39	Burmese (Written) ZMYYC	6 1	V_CCVcc	a ◦ p v a ṅ ʔ
1461	-	0 7 0 1 0 0	245	209	the flower	150	0	Hpun	0	0	1453	tăpɛ̀	the flower	t ă + p ɛ̀	flower	tăpɛ̀  | L.158	Hpun (Northern) EJAH-Hpun	7 1	CVCV	t ă ◦ p ɛ̀
1462	-	0 0 0 1 0 0	245	209	the flower	150	0	Lashi	0	0	1455	pan³³	the flower	p a n ³³	flower	pan³³  | 0377.33	Leqi (Luxi) TBL	1	CVcT	p a n ³³
1463	-	0 0 0 1 0 0	245	209	the flower	150	0	Maru	0	the flower // to bite	1454	pəŋ³⁵	the flower	p ə ŋ ³⁵	flower	pəŋ³⁵  | 0377.31	Langsu (Luxi) TBL	1	CVcT	p ə ŋ ³⁵
1464	-	0 0 0 1 2 0	245	209	the flower	150	0	Xiandao	0	0	1449	pan⁵⁵tam³¹	the flower	p a n ⁵⁵ + t a m ³¹	flower	pan⁵⁵ tam³¹  | 0377.29	Achang (Xiandao) TBL	1 2	CVcTCVcT	p a n ⁵⁵ ◦ t a m ³¹
1465	-	0 0 6 1 0 0	245	209	the flower	150	0	Old_Burmese	0	0	1452	a po₁ṅʔ	the flower	ɑ ¹ + p w ɑ ŋ ¹	flower	a po₁ṅʔ | ?	Burmese (Written) ZMYYC	6 1	V_CCVcc	a _ p o ₁ ṅ ʔ
1466	-	0	0	0	the flower	0	-	Proto-Burmese	-	-	-	0	-	-	0	0	-	0	-	0
#
1480	-	0 10 2 0 11 12 13	164	88	the flying ant	151	0	Hpun	kòʔ xwàiŋ tho // kòʔ khw	0	854	kòʔxwàiŋtho	the ant	k ò + ʔ x w à i + ŋ tʰ o + k ò + ʔ kʰ w	ant (flying)	kòʔ xwàiŋ tho; kòʔ khw  | 610	Hpun (Northern) EJAH-Hpun	10 2 11 12 13	CVCCCVcCVCVcCC	k ò ◦ ʔ x w ài ŋ ◦ th o
1481	-	0	0	0	the flying ant	0	-	Proto-Burmese	-	-	-	0	-	-	0	0	-	0	-	0
#
1482	-	1 2	247	211	the fog	152	0	Achang_Lianghe	0	0	1456	u⁵⁵lu⁵⁵	the fog	u ⁵⁵ + l u ⁵⁵	fog 1	u⁵⁵ lu⁵⁵  | 0474.37	Achang (Lianghe) JZ-Achang	1 2	VTCVT	u ⁵⁵ ◦ l u ⁵⁵
1483	-	3 0 4	248	212	the fog	152	0	Achang_Longchuan	0	0	1458	mau³¹tum⁵⁵	the fog	m a u ³¹ + t u m ⁵⁵	fog 2	mau³¹ tum⁵⁵  | 0016.28	Achang (Longchuan) TBL	3 4	CVTCVcT	m au ³¹ ◦ t u m ⁵⁵
1484	-	5 6 0	246	210	the fog	152	0	Achang_Longchuan_B	mau³¹ tum⁵⁵ // xaŋ³¹ tɕin³¹	0	1459	mau³¹tum⁵⁵	the fog	?	fog 2	mau³¹ tum⁵⁵; xaŋ³¹ tɕin³¹  | 12.41	Achang (Longchuan) ZMYYC	5 6	CVTCVcTCVcTCVcT	m au ³¹ ◦ t u m ⁵⁵
1485	-	1 2	247	211	the fog	152	0	Achang_Luxi	0	0	1457	u⁵⁵lu³⁵	the fog	u ⁵⁵ + l u ³⁵	fog 1	u⁵⁵ lu³⁵  | 12.35	Achang (Luxi) JZ-Achang	1 2	VTCVT	u ⁵⁵ ◦ l u ³⁵
1486	-	0 6 7	246	210	the fog	152	0	Atsi	0	0	1461	sai⁵⁵von²¹	the fog	s a i ⁵⁵ + v o n ²¹	fog 2	sai⁵⁵ von²¹  | 0016.30	Atsi [Zaiwa] TBL	6 7	CVTCVcT	s ai ⁵⁵ ◦ v o n ²¹
1487	-	0 6 7	246	210	the fog	152	0	Bola	0	0	1462	sai³⁵vun³¹	the fog	s a i ³⁵ + v u n ³¹	fog 2	sai³⁵ vun³¹  | 0016.32	Bola (Luxi) TBL	6 7	CVTCVcT	s ai ³⁵ ◦ v u n ³¹
1488	-	3 9 0	248	212	the fog	152	0	Burmese_ZMYYC	0	0	1463	mru²nhaṅḥ	the fog	m r u ² + h n ɑ ŋ ³	fog 2	mru² hnɑŋ³  | 12.39	Burmese (Written) ZMYYC	3 9	CCVTCVcT	m r u ² ◦ nh a ṅ ḥ
1489	-	0 6 7	246	210	the fog	152	0	Lashi	0	0	1465	sa̱i³³wan³¹	the fog	s a̱ i ³³ + w a n ³¹	fog 2	sa̱i³³ wan³¹  | 0016.33	Leqi (Luxi) TBL	6 7	CVTCVcT	s a̱i ³³ ◦ w a n ³¹
1490	-	10 11	249	213	the fog	152	0	Maru	0	0	1464	tʃam³¹thɔi³⁵	the fog	tʃ a m ³¹ + tʰ ɔ i ³⁵	fog 2	tʃam³¹ thɔi³⁵  | 0016.31	Langsu (Luxi) TBL	10 11	CVcTCVT	tʃ a m ³¹ ◦ th ɔi ³⁵
1491	-	25	250	215	the fog	152	0	Xiandao	0	the cloud // the fog	1460	çaŋ⁵⁵cin³¹	the fog	?	fog 2	çaŋ⁵⁵ cin³¹  | 0016.29	Achang (Xiandao) TBL	25	CVcTCVcT	ç a ŋ ⁵⁵ ◦ c i n ³¹
1492	-	3 9 0	248	212	the fog	152	0	Old_Burmese	0	0	1463	?	the fog	m r u ² + h n ɑ ŋ ³	fog 2	? | ?	Burmese (Written) ZMYYC	3 9	CCVTCVcT	0
1493	-	0	0	0	the fog	0	-	Proto-Burmese	-	-	-	0	-	-	0	0	-	0	-	0
#
1494	-	0 1	251	216	the foot	153	0	Achang_Lianghe	0	0	1466	khɯ⁵⁵	the foot	kʰ ɯ ⁵⁵	foot	khɯ⁵⁵  | 1194.45	Achang (Lianghe) JZ-Achang	1	CVT	kh ɯ ⁵⁵
1495	-	0 1	251	216	the foot	153	0	Achang_Longchuan_B	0	0	1467	tɕhi⁵⁵	the foot	tɕʰ i ⁵⁵	foot	tɕhi⁵⁵  | 263.41	Achang (Longchuan) ZMYYC	1	CVT	tɕh i ⁵⁵
1496	-	0 1	251	216	the foot	153	0	Achang_Luxi	0	0	1468	khɯ³⁵	the foot	kʰ ɯ ³⁵	foot	khɯ³⁵  | 1467.40	Achang (Luxi) JZ-Achang	1	CVT	kh ɯ ³⁵
1497	-	0 1	251	216	the foot	153	0	Atsi_C	0	0	1471	khji⁵¹	the foot	kʰ j i ⁵¹	foot	khji⁵¹  | 264.42	Atsi [Zaiwa] JZ-Zaiwa	1	CCVT	kh j i ⁵¹
1498	-	0 1	251	216	the foot	153	0	Atsi_D	0	0	1470	kʻyi²	the foot	k ʻ y i ²	foot	kʻyi²  | S.11	Atsi [Zaiwa] GHL-PPB	1	CCVT	kʰ y i ²
1499	-	0 1	251	216	the foot	153	0	Bola_B	0	0	1472	kʰji⁵⁵	the foot	kʰ j i ⁵⁵	foot	kʰji⁵⁵  | 126	Bola DQ-Bola	1	CCVT	kʰ j i ⁵⁵
1500	-	0 1	251	216	the foot	153	0	Burmese_ZMYYC	0	the claw // the foot	1473	khre	the foot	kʰ r e ²	foot	khre²  | 263.39	Burmese (Written) ZMYYC	1	CCV	kh r e
1501	-	2 1	251	216	the foot	153	foot // leg (cp. Foot)	Hpun	ăxʀíʔ // xí // khí	the foot // the leg	1475	ăxʀíʔ	the foot	ă + x ʀ í ʔ	foot	ăxʀíʔ, xí, khí  | 24n78	Hpun (Northern) EJAH-Hpun	2 1	VCCVc	ă ◦ x ʀ í ʔ
1502	-	2 1	251	216	the foot	153	0	Hpun_B	0	0	1474	ăχih¹	the foot	ă + χ i h ¹	foot	ăχih¹  | S.11	Hpun (Metjo) GHL-PPB	2 1	VCVcT	ă ◦ χ i h ¹
1503	-	0 1	251	216	the foot	153	0	Lashi_B	0	the foot // the leg	1479	khjei³³	the foot	kʰ j e i ³³	foot	khjei³³  | 6.2.6	Lashi DQ-Lashi	1	CCVT	kh j ei ³³
1504	-	0 1	251	216	the foot	153	0	Lashi_C	0	0	1478	kʻyeɪ⁴	the foot	k ʻ y e ɪ ⁴	foot	kʻyeɪ⁴  | S.11	Lashi (Lachhe') GHL-PPB	1	CCVT	kʰ y eɪ ⁴
1505	-	0 1	251	216	the foot	153	0	Maru_C	0	0	1480	khjik³¹	the foot	kʰ j i k ³¹	foot	khjik³¹  | 6.2.6	Maru [Langsu] DQ-Langsu	1	CCVcT	kh j i k ³¹
1506	-	0 1	251	216	the foot	153	0	Maru_D	0	0	1481	tśik	the foot	tś i k	foot	tśik  | 128a-c	Maru [Langsu] JO-PB	1	CVc	tś i k
1507	-	0 1	251	216	the foot	153	0	Xiandao_B	0	0	1469	cʰi⁵⁵	the foot	cʰ i ⁵⁵	foot	cʰi⁵⁵  | 126	Achang (Xiandao) DQ-Xiandao	1	CVT	cʰ i ⁵⁵
1508	-	0 1	251	216	the foot	153	foot // leg (cp. Foot)	Hpun	ăxʀíʔ // xí // khí	the foot // the leg	1476	xí	the foot	x í	foot	ăxʀíʔ, xí, khí  | 24n78	Hpun (Northern) EJAH-Hpun	1	CV	x í
1509	-	0 1	251	216	the foot	153	foot // leg (cp. Foot)	Hpun	ăxʀíʔ // xí // khí	the foot // the leg	1477	khí	the foot	kʰ í	foot	ăxʀíʔ, xí, khí  | 24n78	Hpun (Northern) EJAH-Hpun	1	CV	kh í
1510	-	0 1	251	216	the foot	153	0	Old_Burmese	0	the claw // the foot	1473	khriy	the foot	kʰ r e ²	foot	khriy | 1	Burmese (Written) ZMYYC	1	CCV	kh r i y
1511	-	0	0	0	the foot	0	-	Proto-Burmese	-	-	-	0	-	-	0	0	-	0	-	0
#
1512	-	2 3 0	252	217	the forest	154	0	Atsi	0	0	1483	sik⁵⁵pu̱ŋ⁵⁵	the forest	s i k ⁵⁵ + p u̱ ŋ ⁵⁵	forest n	sik ⁵⁵ pu̱ŋ⁵⁵  | 0050.30	Atsi [Zaiwa] TBL	2 3	CVcTCVcT	s i k ⁵⁵ ◦ p u̱ ŋ ⁵⁵
1513	-	2 0 4	252	217	the forest	154	0	Bola	0	0	1484	sak⁵⁵ja⁵⁵	the forest	s a k ⁵⁵ + j a ⁵⁵	forest n	sak⁵⁵ ja⁵⁵  | 0050.32	Bola (Luxi) TBL	2 4	CVcTCVT	s a k ⁵⁵ ◦ j a ⁵⁵
1514	-	2 0 4	252	217	the forest	154	0	Lashi	0	0	1486	sə̱kjo³¹	the forest	s ə̱ + k j o ³¹	forest n	sə̱kjo³¹  | 0050.33	Leqi (Luxi) TBL	2 4	CVCCVT	s ə̱ ◦ k j o ³¹
1515	-	2 0 4	252	217	the forest	154	0	Maru	0	0	1485	sa̱k⁵⁵jɔ³¹	the forest	s a̱ k ⁵⁵ + j ɔ ³¹	forest n	sa̱k⁵⁵ jɔ³¹  | 0050.31	Langsu (Luxi) TBL	2 4	CVcTCVT	s a̱ k ⁵⁵ ◦ j ɔ ³¹
1516	-	1	253	218	the forest	154	0	Xiandao	0	0	1482	kʐom⁵⁵	the forest	kʐ o m ⁵⁵	forest n	kʐom⁵⁵  | 0050.29	Achang (Xiandao) TBL	1	CCVcT	k ʐ o m ⁵⁵
1517	-	0	0	0	the forest	0	-	Proto-Burmese	-	-	-	0	-	-	0	0	-	0	-	0
#
1544	-	1	254	219	the fowl	155	0	Hpun	chòʔ // chᴜ̀ʔ	the fowl // to fear	1487	chòʔ	the fowl	c h ò ʔ	fowl	chòʔ, chᴜ̀ʔ  | 521	Hpun (Northern) EJAH-Hpun	1	CVc	ch ò ʔ
1545	-	2	255	220	the fowl	155	0	Maru_D	0	0	1489	yò'	the fowl	y ò '	fowl	yò'  | 196.9	Maru [Langsu] JO-PB	2	CV	y ò
1546	-	0	0	0	the fowl	0	-	Proto-Burmese	-	-	-	0	-	-	0	0	-	0	-	0
#
1554	-	0 0 1 2 0	256	221	the frog	156	0	Achang_Lianghe	0	0	1490	pho³¹ok³¹	the frog	pʰ o ³¹ + o k ³¹	frog	pho³¹ ok³¹  | 1361.21	Achang (Lianghe) JZ-Achang	1 2	CVTVcT	ph o ³¹ ◦ o k ³¹
1555	-	0 0 1 0 0	256	221	the frog	156	0	Achang_Longchuan	0	0	1491	phɔ³¹	the frog	pʰ ɔ ³¹	frog	phɔ³¹  | 0349.28	Achang (Longchuan) TBL	1	CVT	ph ɔ ³¹
1556	-	0 0 1 0 3	256	221	the frog	156	0	Achang_Luxi	0	0	1492	pa⁵⁵kuat⁵⁵	the frog	p a ⁵⁵ + k u a t ⁵⁵	frog	pa⁵⁵ kuat⁵⁵  | 1785.48	Achang (Luxi) JZ-Achang	1 3	CVTCVcT	p a ⁵⁵ ◦ k ua t ⁵⁵
1557	-	0 0 1 0 3	256	221	the frog	156	0	Atsi	0	0	1494	pŏ̱²¹kje̱k⁵⁵	the frog	p ŏ̱ ²¹ + k j e̱ k ⁵⁵	frog	pŏ̱²¹ kje̱k⁵⁵  | 0349.30	Atsi [Zaiwa] TBL	1 3	CVTCCVcT	p ŏ̱ ²¹ ◦ k j e̱ k ⁵⁵
1558	-	0 0 1 0 0	256	221	the frog	156	0	Bola	0	the frog // thin	1495	pa̱³⁵	the frog	p a̱ ³⁵	frog	pa̱³⁵  | 0349.32	Bola (Luxi) TBL	1	CVT	p a̱ ³⁵
1559	-	0 0 1 0 0	256	221	the frog	156	0	Burmese_ZMYYC	0	0	1496	phāḥ	the frog	pʰ ɑ ³	frog	phɑ³  | 150.39	Burmese (Written) ZMYYC	1	CVT	ph ā ḥ
1560	-	0 4 1 0 0	256	221	the frog	156	0	Hpun	tăphà // tăpà	0	1497	tăphà	the frog	t ă + pʰ à	frog	tăphà, tăpà  | J.302	Hpun (Northern) EJAH-Hpun	4 1	CVCV	t ă ◦ ph à
1561	-	0 0 1 0 0	256	221	the frog	156	0	Lashi	0	0	1500	pɑ̱⁵⁵	the frog	p ɑ̱ ⁵⁵	frog	pɑ̱⁵⁵  | 0349.33	Leqi (Luxi) TBL	1	CVT	p ɑ̱ ⁵⁵
1562	-	0 0 1 0 0	256	221	the frog	156	0	Maru	0	the frog // thin	1499	pɔ̱³⁵	the frog	p ɔ̱ ³⁵	frog	pɔ̱³⁵  | 0349.31	Langsu (Luxi) TBL	1	CVT	p ɔ̱ ³⁵
1563	-	0 0 1 0 3	256	221	the frog	156	0	Xiandao	0	0	1493	phă³¹cak³⁵	the frog	pʰ ă ³¹ + c a k ³⁵	frog	phă³¹ cak³⁵  | 0349.29	Achang (Xiandao) TBL	1 3	CVTCVcT	ph ă ³¹ ◦ c a k ³⁵
1564	-	5 0 0 0 3	256	221	the frog	156	0	Achang_Lianghe	0	0	1501	tɑ̃³¹tɕɑ³¹	the frog	t ɑ̃ ³¹ + tɕ ɑ ³¹	frog (lives in rice paddy)	tɑ̃³¹ tɕɑ³¹  | 29.36	Achang (Lianghe) JZ-Achang	5 3	CVVTCVT	t ɑ̃ ∼ ³¹ ◦ tɕ ɑ ³¹
1565	-	5 0 0 0 3	256	221	the frog	156	0	Achang_Luxi	0	0	1502	tan⁵¹kjaʔ³¹	the frog	t a n ⁵¹ + k j a ʔ ³¹	frog (lives in rice paddy)	tan⁵¹ kjaʔ³¹  | 1450.30	Achang (Luxi) JZ-Achang	5 3	CVcTCCVcT	t a n ⁵¹ ◦ k j a ʔ ³¹
1566	-	0 0 1 0 0	256	221	the frog	156	0	Old_Burmese	0	0	1496	phāḥ	the frog	pʰ ɑ ³	frog	phāḥ | ?	Burmese (Written) ZMYYC	1	CVT	ph ā ḥ
1567	-	0	0	0	the frog	0	-	Proto-Burmese	-	-	-	0	-	-	0	0	-	0	-	0
#
1568	-	0 0 0 1 0	257	223	the fruit	157	0	Achang_Lianghe	0	0	1504	ʂɿ³¹	the fruit	ʂ ɿ ³¹	fruit	ʂɿ³¹  | 1651.21	Achang (Lianghe) JZ-Achang	1	CVT	ʂ ɿ ³¹
1569	-	0 0 0 1 0	257	223	the fruit	157	0	Achang_Longchuan	0	to bear // the fruit	1505	ʂə³¹	the fruit	ʂ ə ³¹	fruit	ʂə³¹  | 0378.28	Achang (Longchuan) TBL	1	CVT	ʂ ə ³¹
1570	-	0 0 0 1 3	257	223	the fruit	157	0	Achang_Luxi	0	0	1506	ɕi⁵⁵tsap⁵⁵	the fruit	ɕ i ⁵⁵ + ts a p ⁵⁵	fruit	ɕi⁵⁵ tsap⁵⁵  | 560.44	Achang (Luxi) JZ-Achang	1 3	CVTCVcT	ɕ i ⁵⁵ ◦ ts a p ⁵⁵
1571	-	0 0 0 1 0	257	223	the fruit	157	0	Atsi	0	0	1508	ʃi²¹	the fruit	ʃ i ²¹	fruit	ʃi²¹  | 0378.30	Atsi [Zaiwa] TBL	1	CVT	ʃ i ²¹
1572	-	0 0 0 1 0	257	223	the fruit	157	0	Bola	0	0	1509	ʃɿ³⁵	the fruit	ʃ ɿ ³⁵	fruit	ʃɿ³⁵  | 0378.32	Bola (Luxi) TBL	1	CVT	ʃ ɿ ³⁵
1573	-	0 0 4 1 0	257	223	the fruit	157	0	Burmese_ZMYYC	0	0	1510	sac sīḥ	the fruit	s ɑ + c s i ³	fruit	thɑs thi³  | 213.39	Burmese (Written) ZMYYC	4 1	CVc_CVT	s a c ◦ s ī ḥ
1574	-	0 5 0 1 0	257	223	the fruit	157	0	Hpun	0	0	1511	ăʃì	the fruit	ă + ʃ ì	fruit	ăʃì(h)  | G.60	Hpun (Northern) EJAH-Hpun	5 1	VCV	ă ◦ ʃ ì
1575	-	0 0 0 1 0	257	223	the fruit	157	0	Lashi	0	0	1513	ʃɿ⁵⁵	the fruit	ʃ ɿ ⁵⁵	fruit	ʃɿ⁵⁵  | 0378.33	Leqi (Luxi) TBL	1	CVT	ʃ ɿ ⁵⁵
1576	-	0 0 0 1 0	257	223	the fruit	157	0	Maru	0	to bear // the fruit	1512	ʃi³⁵	the fruit	ʃ i ³⁵	fruit	ʃi³⁵  | 0378.31	Langsu (Luxi) TBL	1	CVT	ʃ i ³⁵
1577	-	0 0 0 1 0	257	223	the fruit	157	0	Xiandao	0	to bear // the fruit	1507	ʂɿ³¹	the fruit	ʂ ɿ ³¹	fruit	ʂɿ³¹  | 0378.29	Achang (Xiandao) TBL	1	CVT	ʂ ɿ ³¹
1578	-	0 0 4 1 0	257	223	the fruit	157	0	Old_Burmese	0	0	1510	sac sīḥ	the fruit	s ɑ + c s i ³	fruit	sac sīḥ | ?	Burmese (Written) ZMYYC	4 1	CVc_CVT	s a c _ s ī ḥ
1579	-	0	0	0	the fruit	0	-	Proto-Burmese	-	-	-	0	-	-	0	0	-	0	-	0
#
1595	-	4 0 2 5 0 0	322	318	the full moon	158	0	Hpun	0	0	1922	ʃɛ̀làpyàiŋ	the moon	ʃ ɛ̀ + l à + p y à i ŋ	moon (full)	ʃɛ̀là pyàiŋ  | T.15	Hpun (Northern) EJAH-Hpun	4 2 5	CVCVCCVc	ʃ ɛ̀ ◦ l à ◦ p y ài ŋ
1596	-	0	0	0	the full moon	0	-	Proto-Burmese	-	-	-	0	-	-	0	0	-	0	-	0
#
1597	-	1 2	258	224	the fungus	159	0	Achang_Longchuan	0	0	1514	mau⁵⁵kun⁵¹	the fungus	m a u ⁵⁵ + k u n ⁵¹	fungus (edible) n	mau⁵⁵ kun⁵¹  | 0438.28	Achang (Longchuan) TBL	1 2	CVTCVcT	m au ⁵⁵ ◦ k u n ⁵¹
1598	-	1 2	258	224	the fungus	159	0	Atsi	0	0	1516	mau⁵¹kjon²¹	the fungus	m a u ⁵¹ + k j o n ²¹	fungus (edible) n	mau⁵¹ kjon²¹  | 0438.30	Atsi [Zaiwa] TBL	1 2	CVTCCVcT	m au ⁵¹ ◦ k j o n ²¹
1599	-	1 2	258	224	the fungus	159	0	Bola	0	0	1517	mau⁵⁵kjɔn³¹	the fungus	m a u ⁵⁵ + k j ɔ n ³¹	fungus (edible) n	mau⁵⁵ kjɔn³¹  | 0438.32	Bola (Luxi) TBL	1 2	CVTCCVcT	m au ⁵⁵ ◦ k j ɔ n ³¹
1600	-	1 2	258	224	the fungus	159	0	Lashi	0	0	1519	mou³¹kjun³³	the fungus	m o u ³¹ + k j u n ³³	fungus (edible) n	mou³¹ kjun³³  | 0438.33	Leqi (Luxi) TBL	1 2	CVTCCVcT	m ou ³¹ ◦ k j u n ³³
1601	-	1 2	258	224	the fungus	159	0	Maru	0	0	1518	mau⁵¹kjiŋ²¹	the fungus	m a u ⁵¹ + k j i ŋ ²¹	fungus (edible) n	mau⁵¹ kjiŋ²¹  | 0438.31	Langsu (Luxi) TBL	1 2	CVTCCVcT	m au ⁵¹ ◦ k j i ŋ ²¹
1602	-	1 2	258	224	the fungus	159	0	Xiandao	0	0	1515	mau⁵⁵cun³¹	the fungus	m a u ⁵⁵ + c u n ³¹	fungus (edible) n	mau⁵⁵ cun³¹  | 0438.29	Achang (Xiandao) TBL	1 2	CVTCVcT	m au ⁵⁵ ◦ c u n ³¹
1603	-	0	0	0	the fungus	0	-	Proto-Burmese	-	-	-	0	-	-	0	0	-	0	-	0
#
1640	-	0 0 0 0 4 5 0 0 0 0 0 0 0	373	386	the glutinous rice	160	0	Achang_Longchuan	0	0	2210	nam³¹moi⁵¹	the rice	n a m ³¹ + m o i ⁵¹	rice (glutinous) n	nam³¹ moi⁵¹  | 0404.28	Achang (Longchuan) TBL	4 5	CVcTCVT	n a m ³¹ ◦ m oi ⁵¹
1641	-	2 0 0 0 0 0 0 0 0 0 0 6 7	373	386	the glutinous rice	160	0	Atsi	0	0	2212	tsaŋ²¹puŋ²¹tʃhin⁵¹	the rice	ts a ŋ ²¹ + p u ŋ ²¹ + tʃʰ i n ⁵¹	rice (glutinous) n	tsaŋ²¹ puŋ²¹ tʃhin⁵¹  | 0404.30	Atsi [Zaiwa] TBL	2 6 7	CVcTCVcTCVcT	ts a ŋ ²¹ ◦ p u ŋ ²¹ ◦ tʃh i n ⁵¹
1642	-	0 0 0 0 0 0 1 0 0 0 0 6 7	373	386	the glutinous rice	160	0	Bola	0	0	2213	ta⁵⁵pauŋ³¹tʃhɔn⁵⁵	the rice	t a ⁵⁵ + p a u ŋ ³¹ + tʃʰ ɔ n ⁵⁵	rice (glutinous) n	ta⁵⁵ pauŋ³¹ tʃhɔn⁵⁵  | 0404.32	Bola (Luxi) TBL	1 6 7	CVTCVcTCVcT	t a ⁵⁵ ◦ p au ŋ ³¹ ◦ tʃh ɔ n ⁵⁵
1643	-	0 0 0 8 4 0 0 0 0 0 0 0 7	373	386	the glutinous rice	160	0	Lashi	0	0	2215	kuk³¹ŋjaŋ³³tʃhɛ̱n³³	the rice	k u k ³¹ + ŋ j a ŋ ³³ + tʃʰ ɛ̱ n ³³	rice (glutinous) n	kuk³¹ ŋjaŋ³³ tʃhɛ̱n³³  | 0404.33	Leqi (Luxi) TBL	8 4 7	CVcTCCVcTCVcT	k u k ³¹ ◦ ŋ j a ŋ ³³ ◦ tʃh ɛ̱ n ³³
