Number	Concept	Correction	OriginalConcept
834	the year	the year before last year	year before last
835	straight	straight	straight
836	who?	who?	who
837	who?	who?	who intg
838	who?	who is?	who is itÖ
839	to grind	to grind	grind
840	to grind	to grind	grind (flour) v.
841	to grind	to grind	grind / pestle (medicine) v.
842	six	six	six
843	six	six	six num
844	the joint	the joint	joint
845	the joint	the joint (of bamboo)	joint (of bamboo)
846	the joint	the joint (of bone)	joint (of bone)
847	the joint	the joint	joint nbp
848	the joint	the joint of hand	joint of hand
849	the horn	the horn	horn
850	three	three	three
851	three	three	three num
852	three	three	three things
853	to wipe	to wipe	wipe
854	to wipe	to wipe	wipe (a table)
855	to wipe	to wipe	wipe (the table)
856	to wipe	to rease	wipe away / erase
857	this	this	this
858	this	this	this dem
859	this	here	this side / here dem
860	this	this way	thus / this (way) / (like) this dem
861	hundred	hundred	hundred
862	the road	the journey	road / journey
863	the road	the road	road / way
864	the road	the road	road n
865	the road	section of road (classifier)	section (of road / journey) clf
866	to flow	to flow	flow 1
867	to flow	to flow	flow 2
868	to breathe	to breathe	breath, to breathe
869	to breathe	to breathe	breathe
870	to rub	to rub	rub (to soften animal skin)
871	to count	to count	count v. 1
872	to count	to count	count v. 2
873	to count	to count	count v. 3
874	the bean	the bean	bean (broad) n
875	the bean	the pea or bean	pea / bean n
876	the bean	the soya bean	soya bean n
877	the flower	the flower	flower
878	the medicine	the medicine	medicine
879	the medicine	the medicine	medicine (see also Tobacco)
880	the medicine	the medicine	medicine n
881	to give	to give	give
882	to give	to deliver	give / send / deliver
883	to give	to give out	give out / distribute
884	to give	to give	give v.
885	to hear	to hear	hear
886	to hear	to hear	hear v.
887	to forget	to forget	forget v.
888	the leaf	the betel leaf	betel leaf (cp. Leaf)
889	the leaf	the leaf	leaf
890	the leaf	the leaf (large)	leaf (large)
891	the village	the village	village
892	the village	the village	village n
893	the knee	the knee	knee
894	the knee	the knee cap	knee cap / patella
895	the knee	the knee	knee n
896	not	do not have	have, do not v.
897	not	is not	is not
898	not	not	not
899	not	not be	not be v.i.
900	eight	eight	eight
901	the shade	the shade	shade
902	to pull	to pull	pull
903	to pull	to pull over oneself	pull (a quilt) over oneself v.
904	to pull	to pull out	pull (out)
905	to pull	to pull out	pull / drag (a log) v.
906	to pull	to pull (cow)	pull / lead (a cow) along v.
907	to pull	to pull	pull / tug v.
908	to pull	to pull down	pull down (a house)
909	to pull	to pull up (weeds)	pull up (weeds)
910	to hide	to hide	cover / hide from view v.
911	to hide	hide	hide
912	to hide	to hide	hide (sthg.)
913	to hide	to hide	hide (v.)
914	to hide	to hide	hide (v.t.)
915	to hide	the hide	hide / leather
916	to hide	to hide	hide oneself v.
917	the fingernail	the fingernail	fingernail
918	the feather	the feather	feather / plume n
919	the feather	the hair or down	hair / down n
920	the feather	the hair or down	hair / feathers
921	new	new	new
922	the water	warm water	warm water
923	the water	the water	water
924	the water	boiled water	water (boiled) n
925	the water	warm water	water (hot)
926	the water	the water	water n
927	the vagina	the vagina	vagina
928	the vagina	the vagina	vagina / vulva
929	to ascend	to ascend	ascend
930	the pea	the pea or bean	pea / bean n
931	the pea	the pea	pea n
