number	meaning	PLB	PB	Spoken Burmese	Atsi	Maru	PL	Lisu	Lahu	Akha	notes	MM notes
271	place (noun)	-	γa¹ᵃ	yá	côvô	còʔγò	-	-	-	-		
272	place (verb)	tʔa²	tʔa²	thâ	tʔó	tʔō	ta²	-	tɛ̄tà	yútà		
273	plant (crops) (verb)	-	-	-	-	-	ti¹/³	tə̂	tī	-		
274	poison	tok¹	tok	tauʔ	-	-	doʔ¹	doʔ	tɔ̄ʔ	dɔ̀ʔ	PB: Bu	
275	porcupine	pʔyu¹ᵇ	pʔyu¹ᵇ	phyú	pʔyú	pʔyù	pu¹	pû̸	pū̸	pú		
276	pot-1	-	o²	ôu	àu	óʔ	-	-	-	-	Maru: F	
277	pot-2	-	-	-	-	-	ḳhu³	-	ḳhū	xū		
278	pound (verb)	-	thoŋ²ᶜ	thâun	thúŋ	thòŋ	-	-	-	-		
279	price	pho²	pho²	ăphôu	phàu	-	pho²	phù̸	phɨ	pø̀		
280	pull	-	še¹ᵃ	-	šê	šè	-	-	-	-		
281	pus	pyiŋ¹ᵃ	pyiŋ¹ᵃ	pyí	pyîŋ	-	byiŋ¹	-	-	byɔ́n	PL: Ak	
282	push	-	tun¹ᶜ	tûn	cʔún	tùm	-	-	-	-	Atsi: I	
283	rain	-	γwa¹ᵃ	ywá	vô	mùkγù	-	-	-	-		
284	rat-1	-	kγVS	cweʔ	-	γùt	-	-	-	-	PB: CB	
285	rat-2	-	-	-	-	-	chaʔ¹	-	fáʔchāʔ	xɔ̄ʔcāʔ		
286	red-1	-	ne¹ᵃ	ní	nê	nè	-	-	-	-	BSB: F	
287	red-2	-	-	-	-	-	nʔe¹	nî	nī	né		
288	remember	-	-	-	-	-	no²	-	dɔ̂nɔ̂	nø̀tà		
289	repay	-	tshap	shaʔ	tshap	-	-	-	-	-		
290	rest	na²	na²	nâ	nó	ŋō	na²	nà	-	γànà	Maru: I	
291	rice (paddy)	-	kok	kauʔ	kuʔ	kòk	-	-	-	-		
292	rice (husked)	-	thlan¹ᵇ	shán	chín	chìn	-	-	-	-	PB: C; Atsi: F	
293	rice (cooked)	tsa¹	tsa¹	-	-	tsò	dza¹	dzā	cǎsì	-	PB: Maru; Lahu: 'rice plant' (cf. 'tree')	
294	rice (glutinous)	-	-	-	-	-	dza¹no²	dzānù	cǎnɔ̂	-	PB: C	
295	rice beer	-	ei¹ᵇ	-	íphè	ìt	-	-	-	-		
296	ride (horse)	-	-	-	-	-	dzi²	dzə̀	cî	dzì		
297	right (hand)	-	ya¹ᵃ	yá	loʔyô	yò	-	-	-	-		
298	ripe-1	-	mʔiŋ³	hmè	mʔyíŋ	mʔáŋ	-	-	-	-	Atsi: T	
299	ripe-2	-	-	-	-	-	myiŋ³	mî	mɛ̄	myɔ̄n		
300	river	laŋ¹	laŋ¹	-	lâŋ	-	lɔ¹	lɔ̄	lɔ̌	lɔ́	PB: At	
301	road (classifier)	-	khya¹ᵇ	-	khyó	khyò	-	-	-	-		
302	roast	-	phut	phouʔ	phut	-	-	-	-	-		
303	root	-	myit	myiʔ	ămyit	-	-	-	-	-		
304	rotten	pup¹	pup	pouʔ	pup	páp	buʔ¹	-	-	yɔ̄bùʔ	Maru: T; PL: Ak	
305	rough	-	-	-	-	-	saʔ²	-	sáʔlɛ̄ʔ	yɔsāʔ		
306	round object (classifier)	-	lum²	lôun	lʔùm	lām	-	-	-	-	Atsi: I	
307	round (verb)	-	-	-	-	-	lʔum²	yílúlú	g̣ɔ́lɛ̀	-		
308	rule	-	tso²	sôuzán	tsáu	-	-	-	-	-		
309	salt	-	tsha²	shâ	tshò	tshō	-	-	-	-		
310	sand-1	se²	se²	θê	sèmúi	-	se²	-	sêsì	-		Atsi: only 1st syl cognate; Burling should have PL: La but doesn't
311	sand-2	-	mwei¹ᵇ	-	sèmúi	màchò	-	-	-	-		Atsi: only 2nd syl cognate
312	search-1	-	ha¹ᵃ	šá	hô	γò	-	-	-	-		
313	search-2	-	-	-	-		phoʔ²	phɔ̌	phɨ́ʔnī	šápɔ̄ʔ	Lisu: 'circle about'	
314	see	myaŋ¹ᵃ	myaŋ¹ᵃ	myín	myâŋ	myà	mɔ¹	mɔ̄	mɔ̌	mɔ́		
315	seed-1	-	-	-	-	-	yo²	-	yɔ̂	yø̀		
316	seed-2	-	tlV³	ăsì	ăcī	ăcít	-	-	-	-	PB: CB	
317	seed-3	-	myo²	ămyôu	àmyùi	-	-	-	-	-		
318	sell	oŋ²	oŋ²	yâun	úŋ	ōŋ	oŋ²	-	-	ɔ̀n	BSB: I; PL: Akha	
319	sesamum	-	nʔam²	hnân	nʔàm	nʔīn	-	-	-	-		
320	seven-1	-	-	-	-	-	sei²	šù̸	sɨ̀	-		
321	seven-2	-	nʔit	khúnniʔ	nʔyitlʔùm	nʔat	-	-	-	-	BSB: V	
322	sew	-	khyup	chouʔ	khyup	khyáp	-	-	-	gùʔ	Akha: I	
323	Shans	-	sam³	šân	lăsām	sínwò	-	-	-	-	BSB: IT	
324	sharp	thaʔ²	thaʔ	theʔ	thoʔ	-	thaʔ²	thæ̌	-	tāʔ		
325	sheep	yaŋ¹	yaŋ¹	-	-	yà	yɔ¹	âřɔ̄	yɔ̌	yɔ́	PB: Ma	
326	shield	-	ka¹ᵃ	ká	kô	-	-	-	-	-		
327	shine, blaze	-	tok	tauʔ	tuʔ	-	-	-	-	-		
328	shoot	-	pik	pyiʔ	pik	pàk	-	-	-	-	BSB: Y	
329	shrimp	-	tsun¹ᵇ	băzún	pàutsún	-	-	-	-	-	BSB: V	
330	sibling (younger)	-	-	-	-	-	nyi³	nyî	nī	-		
331	sing	-	-	-	-	-	ḳa¹/³	kwâ	ḳā	-		
332	six	khyok¹	khyok	chauʔ	khyuʔlʔùm	khyók	k̯hoʔ¹	-	k̯hɔ̄ʔ	kɔ̀ʔ		
333	skin	-	γei¹ᵃ	ăyéi	-	šăγìt	-	-	-	-		
334	sky	mo²ᶜ	mo²ᶜ	môu	màu	mùkkòŋ	mo²	mùkwâ	mɨ̂nɔ̄mā	-	BSB: 'rain'; PL: La; Lisu: F	
335	slave	-	cun¹ᵃ	cún	cûn	-	-	-	-	-		
336	sleep	yup¹	yup	-	-	yàp	yuʔ¹	yiʔtá	yɨ̄ʔ	yùʔ	PB:Ma	
337	smoke (noun)	kho²	kho²	khôu	myìkhàu	mīkhúk	ḳho²	mùkhù	mɨ̂ḳhɔ̂	ùxø̀		
338	snake	-	mwei¹ᵃ/mwe¹ᵃ	mwéi	lʔáŋmûi	mòi	-	-	-	-		
339	snot	-	nʔap	hnaʔ	nʔap	nʔeʔ	-	-	-	-		
340	son	-	tsa²	-	tsò	tsō	-	-	-	-		Burling did not list Burmese sâ which may be a loan from Pyu saḥ
341	son's wife (cf. female suffix)	khywə²ma³	khywei²ma³	chwêimà	-	-	k̯hə²ma³	-	ɔk̯hə̂mā	-	PL: La	Lahu form in Akha column in original book; corrected here
342	span (arm)	lam¹ᵃ	lam¹ᵃ	lán	lâm	lìn	lam¹	-	lɔ̌	-	PL: La	
343	span (finger)	-	thwa¹ᵇ	thwá	thó	thù	-	-	-	-		
344	sparrow	-	tla¹ᵃ	sá	côkhyaŋ	-	-	-	-	-	PB: C	
345	spear	-	lʔam¹ᵇ	hlán	lʔám	lʔìntʔat	-	-	-	-		
346	spirit	nat¹	nat	naʔ	-	-	neʔ¹	-	-	nɛ̀ʔ	PB: Bu; PL: Ak	
347	split-1	-	khaʔ	-	khoʔ	khóʔ	-	-	-	-	PB: Bu; PL: Ak	
348	split-2	khwe²	khwe²	khwê	-	-	k̯hə²	khə̀	-	-	PB: Bu; PL: Li	
349	squeeze	-	-	-	-	-	chuʔ²	chǔ̸	chɨ́ʔ	-		
350	stab	-	tho²	thôu	tháu	thúk	-	-	-	-		
351	stand (intrans.)	yap¹	yap	yaʔ	yap	yèʔ	yap¹	-	-	gɔ̀yɔ̀ʔyɔ̀ʔ	PL: Ak	
352	stand (trans.-1)	-	tʔa³	thà	-	tʔóyèʔ	-	-	-	-		
353	stand (trans.-2)	-	-	-	-	-	tu¹	tû	tūhú	tú	Akha is intransitive	
354	steal (sneak)	kho²	kho²	khôu	kháu	khúk	kho²	khù	khɔ̂	xø̀		
355	stick (cf. tree-3)	-	-	-	-	-	da¹	sǐdā	sə́ʔtǎ	dákɔ̀		
356	stomach (belly)	-	wam²	wûn	vàm	wīntùʔ	-	-	-	-		
357	stone	-	klok	cauʔ	-	lòktsàŋ	-	-	-	-	PB: C	
358	stop up	-	tsho³	shòu	-	tshúk	-	-	-	-		
359	straight	-	tiŋ³	tè	tīŋtīŋ	-	-	-	-	-		
360	strength	-	γum²ᶜ	yôun	vùm	γàm	-	-	-	-		
361	stump (of tree)	-	ŋut	ŋouʔ	ŋut	-	-	-	-	-		
362	succeed	-	oŋ¹ᵃ	áun	ûŋ	òŋ	-	-	-	-		
363	suckle-1	-	cʔup	souʔ	suʔcʔup	cʔap	-	-	-	-	Burmese: I	
364	suckle-2	-	-	-	-	-	chuʔ¹	chu̸ʔ	-	cùʔ		
365	sugar (cf. sweet)	tsha²	tsha²	-	tshòchùi	-	tsha²	tshàchū̸	-	-	PB: At; PL: Li	Atsi: Burling has tshɔ̀chùi which must be a typo for tshòchùi since there is no ɔ in Atsi
366	sugar cane	-	klV¹ᵃ	cán	-	lōŋpàŋ	-	-	-	-	PB: CB	
367	sun	-	pwei¹ᵃ	-	pûi	pà	-	-	-	-		
368	support	-	thok	thauʔ	thuʔ	thók	-	tɔ́ʔ	-	-	Li: I	
369	swallow (verb)	-	myo¹ᵃ	myóu	myũi	myúk	-	-	-	-	Maru: T	
370	sweet	cho¹ᵇ	cho¹ᵇ	chóu	chúi	chùk	cho¹	chū̸	chɔ̄	cǿ	Atsi: F	
371	swell up	-	γam²	yáun	vám	γín	-	-	-	-	BSB:FT	
372	tail-1	-	mi²	ămî	šòmyì	šămī	-	-	-	-		
373	tail-2	-	-	-	-	-	mʔi²	mə́	-	dɔ̀mì		
374	take	yu¹ᵃ	yu¹ᵃ	yú	yû	yù	yu¹	řū	yǔ	yú		
375	tea (leaf)	-	phaʔ	leʔpheʔ	lăphoʔ	-	-	-	-	-		
376	teach	-	-	-	-	-	mʔa²	má	mà	mɛ̀	Akha: F	
377	tear (verb)	-	thlutC	shouʔ	cheʔ	láchát	-	-	-	-	Atsi: F	
378	ten	tshe¹ᵇ	tshe¹ᵇ	shé	tshé	tshè	tshe¹	tshi	chī	tsé		Akha tśe is presumably a typo for tsé; corrected here
379	tender, soft-1	-	nu³	nù	ănū	-	-	-	-	-		cf. tender-2
380	tender-2	-	-	-	-	-	nu²	nù	nû̸	-		cf. tender-1
381	thick	thu¹ᵃ	thu¹ᵃ	thú	thû	thàu	thu¹	thū	thū	tú		
382	thin	pa²	pa²	pâ	-	pʔō	ba²	bà	pâ	bà	PB: B	
383	think	-	thaŋ¹ᵇ	thín	tháŋ	-	-	-	-	-		
384	this	che¹	che¹	-	-	chè	che¹	-	chī	-	PB: Ma; PL: La	
385	thorn-1	-	tsu²ᶜ	sû	tsù	tsàu	-	-	-	-		
386	thorn-2	-	-	-	-	-	tshu²	tshù	áchû	-		
387	thou	naŋ¹ᵃ	naŋ¹ᵃ	nín	nâŋ	nà	nɔ¹	nū	nɔ̌	nɔ́	Lisu: F	
388	three	sum²ᶜ	sum²ᶜ	θôun	súm	sàm	sum²	-	-	sm̀	PL: Ak	
389	throat	-	khyoŋ²	châun	khyùŋ	khyōŋ	-	-	-	-		
390	tiger	kla²	kla²	câ	lò	-	la²	laʔmâ	lâ	là	PLB, PB: C; Lisu: T	
391	tongue	sla¹ᵇ	sla¹ᵇ	šá	šó	šò	la¹	lāchø̄	-	mɛ̀lá	PLB, PB: C	
392	tooth	-	tswe¹ᵃ	swé	tsûi	tsòi	-	-	-	-		
393	touch	-	-	-	-	-	tho²	-	thɔ̂	tø̀		
394	tread upon	naŋ²	naŋ²	nîn	náŋ	-	nɔ²	-	-	nɔ̀	PL: Ak	
395	tree-1	-	sik	θiʔ	sikhâm	sáktsàŋ	-	-	-	-		
396	tree-2	paŋ¹	paŋ¹	pín	-	-	bɔ¹	-	-	ábɔ́	PB: Bu; PL: Ak	
397	tree-3	-	-	-	-	-	suʔ²	sǐ	sɨ́ʔcɛ̌	-		
398	turban (cf. head)	-	thup	thôun	ùthup	āutháp	-	-	-	-	Burmese: FT	
399	two	-	-	-	-	-	nyi²	nyì	nî	nyì		
400	undress	-	khyut	chuʔ	khyut	khyátkhyó	-	-	-	-		
401	untie	phyə¹ᵃ	phyei¹ᵃ	phyéi	phyî	phùm	phə¹	phə̄	phə̄	pí̸	Maru: Y	
402	voice	khyoŋ²	khyoŋ²	-	khyùŋ	-	k̯hoŋ²	-	k̯hɔ̂	-	PB: At; PL: La	
403	vomit	phat²	phat	-	phat	-	pheʔ²	peʔ	phéʔ	-	PB: At; PL: La; Lisu: IT	
404	vulva	-	tlok	sauʔ	cuʔ	còk	-	-	-	-	PB: C	
405	waist	-	-	-	-	-	joʔ¹	-	cɔ̄ʔcɛ̌nī	jòʔ		
406	walk	-	swa²	-	só	sū	-	-	-	-		
407	wall	-	γam¹ᵃ	yán	-	khìnγìn	-	-	-	-	BSB: 'surround'	
408	wash	-	thlei²	shêi	chí	chít	-	-	-	-	PB: C	
409	water	-	γei¹ᵃ	yéi	vûi	γit	-	-	-	-		
410	wear	wut¹	wut	wuʔ	vut	-	wut¹	-	vʌ̄	-	PB: At; BSB: F; PL: Lahu	
411	weave	-	-	-	-	-	chi²	chù̸	chî	-		
412	wipe	-	sut	θouʔ	sut	-	-	-	-	-		
413	woman	myi²ᶜ	myi²ᶜγe²	-	myìvè	myìγē	ya²mi²	řàmə̀řà	yâmî	zàmìzà	PL: cf. 'child'	
414	word	taŋ²	taŋ²	-	-	tā	dɔ²	-	-	tìdɔ̀	PB: Ma; PL: Akha	
415	worm	-	-	-	-	-	de¹	ŋwánábìdi	pɨ̂tǐ	búdé		
416	yam	-	mʔyok	myauʔ	mʔyuʔ	mʔyok	-	-	-	-	BSB: A	
417	year	-	tsan¹ᵃ	-	tsân	tsìn	-	-	-	-		
418	year (classifier)	-	-	-	-	-	ḳhoʔ¹	khoʔ	ḳhɔ̄	xɔ̀ʔ		
419	white	phyu¹ᵃ	phyu¹ᵃ	phyú	phyû	ăphyù	phu¹	phū	phū	-		
420	widower	-	pho¹ᵇ	mouʔshôuphóu	chúpháu	chúkphùk	-	-	-	-		
421	wife	-	mi²	-	myì	mī	-	-	-	-		
422	wife's sibling	-	-	-	-	-	pha²	řɔ̀phà	ɔ̌ū̸phâ	-		
423	wind - air	-	lei¹ᵃ	léi	lâi	làhúk	-	-	-	-		
424	wing	toŋ¹ᵃ	toŋ¹ᵃ	ătáun	tûŋ	tòŋ	doŋ¹	dūlæʔ	-	àdɔ́n		
