ID	DOCULECT	CONCEPT	DOCULECT_IS	CONCEPT_NUMBER_IS	VALUE_IS	VALUE	NOTES	NOTES_MM	COGID	SEGMENTS
283	Atsi	cattle (cow)	Atsi	60	nò	nò	Maru: F		60	n ò
284	Maru	cattle (cow)	Maru	60	nūŋ	nūŋ	Maru: F		60	n ū ŋ
285	Proto-Burmish	cattle (cow)	PB	60	nwa²	nwa²	Maru: F		60	n w a ²
286	Rangoon	cattle (cow)	Spoken Burmese	60	nwâ	nwâ	Maru: F		60	n w â
287	Atsi	chaff	Atsi	61	phùicʔap	phùicʔap			61	p h ù i c + ʔ a p
288	Lisu	chaff	Lisu	61	dzāphə̀	dzāphə̀			61	d z ā + p h ə̀
289	Maru	chaff	Maru	61	wòʔphōi	wòʔphōi			61	w ò ʔ + p h ō i
290	Proto-Burmish	chaff	PB	61	phwe²	phwe²			61	p h w e ²
291	Proto-Lolo	chaff	PL	61	phə²	phə²			61	p h ə ²
292	Proto-Lolo-Burmese	chaff	PLB	61	phwe²	phwe²			61	p h w e ²
293	Rangoon	chaff	Spoken Burmese	61	phwênù	phwênù			61	p h w ê + n ù
294	Akha	change	Akha	62	pá	pá			62	p á
295	Lisu	change	Lisu	62	pâ	pâ			62	p â
296	Proto-Lolo	change	PL	62	pa¹	pa¹			62	p a ¹
297	Atsi	chest (body part)	Atsi	63	vâŋkàŋ	vâŋkàŋ			63	v â ŋ + k à ŋ
298	Proto-Burmish	chest (body part)	PB	63	γaŋ¹ᵃ	γaŋ¹ᵃ			63	 + γ a ŋ ¹ᵃ
299	Rangoon	chest (body part)	Spoken Burmese	63	yín	yín			63	yí n
300	Akha	child, young	Akha	64	zà	zà			64	z à
301	Lisu	child, young	Lisu	64	řà	řà			64	ř à
302	Proto-Lolo	child, young	PL	64	ya²	ya²			64	ya ²
303	Atsi	chili	Atsi	65	šìphyìk	šìphyìk			65	š ì + p h y ì k
304	Maru	chili	Maru	65	chāphyák	chāphyák			65	c h ā + p h yá k
305	Proto-Burmish	chili	PB	65	phyik	phyik			65	p h yi k
306	Lisu	chin	Lisu	66	bàmə̀dû	bàmə̀dû			66	b à + m ə̀ + d û
307	Proto-Lolo	chin	PL	66	ba²	ba²			66	b a ²
308	Lisu	city	Lisu	67	mu̸	mu̸			67	m u̸
309	Proto-Lolo	city	PL	67	mo²	mo²			67	m o ²
310	Atsi	clench fist	Atsi	68	tsʔup	tsʔup	PL: La		68	t s + ʔ u p
311	Proto-Burmish	clench fist	PB	68	tsʔup	tsʔup	PL: La		68	t s + ʔ u p
312	Proto-Lolo	clench fist	PL	68	tsuʔ²	tsuʔ²	PL: La		68	t s u ʔ ²
313	Proto-Lolo-Burmese	clench fist	PLB	68	tsʔup	tsʔup	PL: La		68	t s + ʔ u p
314	Rangoon	clench fist	Spoken Burmese	68	shouʔ	shouʔ	PL: La		68	s h ou ʔ
315	Akha	cloth	Akha	69	pá	pá			69	p á
316	Proto-Lolo	cloth	PL	69	pha¹	pha¹			69	p h a ¹
317	Akha	cold (personally)	Akha	70	gāʔ	gāʔ			70	g ā ʔ
318	Atsi	cold (personally)	Atsi	70	kyoʔ	kyoʔ			70	k yo ʔ
319	Maru	cold (personally)	Maru	70	kyòʔ	kyòʔ			70	k y ò ʔ
320	Proto-Burmish	cold (personally)	PB	70	kyaʔ	kyaʔ			70	k ya ʔ
321	Proto-Lolo	cold (personally)	PL	70	g̯aʔ²	g̯aʔ²			70	g̯ a ʔ ²
322	Proto-Lolo-Burmese	cold (personally)	PLB	70	kyaʔ²	kyaʔ²			70	k ya ʔ ²
323	Akha	come	Akha	71	lá	lá			71	l á
324	Atsi	come	Atsi	71	lô	lô			71	l ô
325	Lisu	come	Lisu	71	lā	lā			71	l ā
326	Proto-Burmish	come	PB	71	la¹ᵃ	la¹ᵃ			71	l a ¹ᵃ
327	Proto-Lolo	come	PL	71	la¹ᵃ	la¹ᵃ			71	l a ¹ᵃ
328	Proto-Lolo-Burmese	come	PLB	71	la¹ᵃ	la¹ᵃ			71	l a ¹ᵃ
329	Rangoon	come	Spoken Burmese	71	lá	lá			71	l á
330	Atsi	come out-1 (emerge)	Atsi	72	thoʔlô	thoʔlô			72	t h o + ʔ l ô
331	Proto-Burmish	come out-1 (emerge)	PB	72	thwaʔ	thwaʔ			72	t h w a ʔ
332	Rangoon	come out-1 (emerge)	Spoken Burmese	72	thweʔ	thweʔ			72	t h w e ʔ
333	Akha	come out-2	Akha	73	dōʔlá	dōʔlá			73	d ō + ʔ l á
334	Lisu	come out-2	Lisu	73	dôlā	dôlā			73	d ô + l ā
335	Proto-Lolo	come out-2	PL	73	doʔ²	doʔ²			73	d o ʔ ²
336	Akha	copper	Akha	74	gì̸	gì̸			74	g ì̸
337	Proto-Lolo	copper	PL	74	g̯ə²	g̯ə²			74	g̯ ə ²
338	Atsi	copulate	Atsi	75	láu	láu			75	l áu
339	Maru	copulate	Maru	75	lùk	lùk			75	l ù k
340	Proto-Burmish	copulate	PB	75	lo²	lo²			75	l o ²
341	Rangoon	copulate	Spoken Burmese	75	lôu	lôu			75	l ô u
342	Lisu	cough	Lisu	76	tshə̀cu̸	tshə̀cu̸			76	t s + h ə̀ + c u̸
343	Proto-Lolo	cough	PL	76	cei²	cei²			76	c ei ²
344	Atsi	creeper	Atsi	77	nûi	nûi			77	n û i
345	Maru	creeper	Maru	77	ănòi	ănòi			77	ă + n ò i
346	Proto-Burmish	creeper	PB	77	nwe¹ᵃ	nwe¹ᵃ			77	n w e ¹ᵃ
347	Rangoon	creeper	Spoken Burmese	77	ănwé	ănwé			77	ă + n w é
348	Akha	crooked	Akha	78	γɔ̀ʔ	γɔ̀ʔ	PB: Bu		78	 + γ ɔ̀ ʔ
349	Proto-Burmish	crooked	PB	78	kok	kok	PB: Bu		78	k o k
350	Proto-Lolo	crooked	PL	78	g̣oʔ¹	g̣oʔ¹	PB: Bu		78	g̣ o ʔ ¹
351	Proto-Lolo-Burmese	crooked	PLB	78	kok¹	kok¹	PB: Bu		78	k o k ¹
352	Rangoon	crooked	Spoken Burmese	78	kauʔ	kauʔ	PB: Bu		78	k au ʔ
353	Atsi	cross (as water) (verb)	Atsi	79	kú	kú			79	k ú
354	Maru	cross (as water) (verb)	Maru	79	kāu	kāu			79	k ā u
355	Proto-Burmish	cross (as water) (verb)	PB	79	ku²	ku²			79	k u ²
356	Rangoon	cross (as water) (verb)	Spoken Burmese	79	kû	kû			79	k û
357	Atsi	crossbow-1	Atsi	80	lài	lài			80	l à i
358	Maru	crossbow-1	Maru	80	lātsʔok	lātsʔok			80	l ā + t s + ʔ o k
359	Proto-Burmish	crossbow-1	PB	80	lei²	lei²			80	l ei ²
360	Rangoon	crossbow-1	Spoken Burmese	80	lêi	lêi			80	l ê i
361	Akha	crossbow-2	Akha	81	kāʔ	kāʔ	Lisu: IF		81	k ā ʔ
362	Lisu	crossbow-2	Lisu	81	chǎ	chǎ	Lisu: IF		81	c h ǎ
363	Proto-Lolo	crossbow-2	PL	81	k̯haʔ²	k̯haʔ²	Lisu: IF		81	k̯ h a ʔ ²
364	Akha	cry (sob)	Akha	82	ŋǿ	ŋǿ			82	ŋ ǿ
365	Atsi	cry (sob)	Atsi	82	ŋâu	ŋâu			82	ŋ â u
366	Lisu	cry (sob)	Lisu	82	ŋū	ŋū			82	ŋ ū
367	Maru	cry (sob)	Maru	82	ŋùk	ŋùk			82	ŋ ù k
368	Proto-Burmish	cry (sob)	PB	82	ŋo¹ᵃ	ŋo¹ᵃ			82	ŋ o ¹ᵃ
369	Proto-Lolo	cry (sob)	PL	82	ŋo¹	ŋo¹			82	ŋ o ¹
370	Proto-Lolo-Burmese	cry (sob)	PLB	82	ŋo¹ᵃ	ŋo¹ᵃ			82	ŋ o ¹ᵃ
371	Rangoon	cry (sob)	Spoken Burmese	82	ŋóu	ŋóu			82	ŋ ó u
372	Atsi	cubit	Atsi	83	tûŋ	tûŋ	Maru: T		83	t û ŋ
373	Maru	cubit	Maru	83	tóŋ	tóŋ	Maru: T		83	t ó ŋ
374	Proto-Burmish	cubit	PB	83	toŋ¹ᵃ	toŋ¹ᵃ	Maru: T		83	t o ŋ ¹ᵃ
375	Rangoon	cubit	Spoken Burmese	83	táun	táun	Maru: T		83	t áu n
376	Atsi	cucumber	Atsi	84	tûŋkhò	tûŋkhò			84	t û ŋ + k h ò
377	Maru	cucumber	Maru	84	lăkhù	lăkhù			84	l ă + k h ù
378	Proto-Burmish	cucumber	PB	84	khwa²	khwa²			84	k h w a ²
379	Rangoon	cucumber	Spoken Burmese	84	θăkhwâ	θăkhwâ			84	θ ă + k h w â
380	Atsi	cup	Atsi	85	khweʔ	khweʔ			85	k h w e ʔ
381	Maru	cup	Maru	85	khoʔ	khoʔ			85	k h o ʔ
382	Proto-Burmish	cup	PB	85	khwaʔ	khwaʔ			85	k h w a ʔ
383	Atsi	dam	Atsi	86	tshíŋ	tshíŋ	Maru: IT		86	t s + h í ŋ
384	Maru	dam	Maru	86	thāmtʔáŋ	thāmtʔáŋ	Maru: IT		86	t h ā m t + ʔ á ŋ
385	Proto-Burmish	dam	PB	86	tshiŋ¹ᵇ	tshiŋ¹ᵇ	Maru: IT		86	t s + h i ŋ ¹ᵇ
386	Rangoon	dam	Spoken Burmese	86	shé	shé	Maru: IT		86	s h é
387	Atsi	dance	Atsi	87	kà	kà	Maru: F; Lisu: I		87	k à
388	Lisu	dance	Lisu	87	kwâ	kwâ	Maru: F; Lisu: I		87	k w â
389	Maru	dance	Maru	87	kú	kú	Maru: F; Lisu: I		87	k ú
390	Proto-Burmish	dance	PB	87	ka³	ka³	Maru: F; Lisu: I		87	k a ³
391	Rangoon	dance	Spoken Burmese	87	kà	kà	Maru: F; Lisu: I		87	k à
392	Atsi	day (24 hours)	Atsi	88	nyī	nyī			88	n y ī
393	Proto-Burmish	day (24 hours)	PB	88	nei³	nei³			88	n ei ³
394	Rangoon	day (24 hours)	Spoken Burmese	88	nèi	nèi			88	n è i
395	Akha	deaf	Akha	89	bɔ̀	bɔ̀			89	b ɔ̀
396	Proto-Lolo	deaf	PL	89	bɔ²	bɔ²			89	b ɔ ²
401	Akha	deer (barking)	Akha	91	cíhà	cíhà	PB: At		91	c í + h à
402	Atsi	deer (barking)	Atsi	91	chôchí	chôchí	PB: At		91	c h ô + c h í
403	Lisu	deer (barking)	Lisu	91	chū̸	chū̸	PB: At		91	c h ū̸
404	Proto-Burmish	deer (barking)	PB	91	chei¹ᵇ	chei¹ᵇ	PB: At		91	c h ei ¹ᵇ
405	Proto-Lolo	deer (barking)	PL	91	chei¹	chei¹	PB: At		91	c h ei ¹
406	Proto-Lolo-Burmese	deer (barking)	PLB	91	chei¹ᵇ	chei¹ᵇ	PB: At		91	c h ei ¹ᵇ
397	Atsi	deer (sambhur)	Atsi	90	tshat	tshat			90	t s + h a t
398	Maru	deer (sambhur)	Maru	90	tshéʔ	tshéʔ			90	t s + h é ʔ
399	Proto-Burmish	deer (sambhur)	PB	90	tshat	tshat			90	t s + h a t
400	Rangoon	deer (sambhur)	Spoken Burmese	90	shaʔ	shaʔ			90	s h a ʔ
407	Atsi	destroy	Atsi	92	phyeʔ	phyeʔ		PL and Lisu columns misplaced	92	p h ye ʔ
408	Lisu	destroy	Lisu	92	phyǎ	phyǎ		PL and Lisu columns misplaced	92	p h y ǎ
409	Maru	destroy	Maru	92	phyoʔ	phyoʔ		PL and Lisu columns misplaced	92	p h yo ʔ
410	Proto-Burmish	destroy	PB	92	phyaʔ	phyaʔ		PL and Lisu columns misplaced	92	p h ya ʔ
411	Proto-Lolo	destroy	PL	92	phyaʔ²	phyaʔ²		PL and Lisu columns misplaced	92	p h ya ʔ ²
412	Proto-Lolo-Burmese	destroy	PLB	92	phyaʔ²	phyaʔ²		PL and Lisu columns misplaced	92	p h ya ʔ ²
413	Akha	die	Akha	93	ší	ší			93	š í
414	Atsi	die	Atsi	93	šît	šît			93	š î t
415	Lisu	die	Lisu	93	sū̸	sū̸			93	s ū̸
416	Maru	die	Maru	93	ši	ši			93	š i
417	Proto-Burmish	die	PB	93	šei¹ᵃ	šei¹ᵃ			93	š ei ¹ᵃ
418	Proto-Lolo	die	PL	93	sei¹	sei¹			93	s ei ¹
419	Proto-Lolo-Burmese	die	PLB	93	šei¹ᵃ	šei¹ᵃ			93	š ei ¹ᵃ
420	Rangoon	die	Spoken Burmese	93	θéi	θéi			93	θ é i
421	Atsi	difficult	Atsi	94	vúi	vúi	Maru: ‘easy’ cf. neg pref.		94	v úi
422	Maru	difficult	Maru	94	măγuk	măγuk	Maru: ‘easy’ cf. neg pref.		94	m ă + γ u k
423	Proto-Burmish	difficult	PB	94	γo²	γo²	Maru: ‘easy’ cf. neg pref.		94	 + γ o ²
424	Akha	dig	Akha	95	dù	dù	Lahu: I		95	d ù
425	Atsi	dig	Atsi	95	tú	tú	Lahu: I		95	t ú
426	Lisu	dig	Lisu	95	dù	dù	Lahu: I		95	d ù
427	Maru	dig	Maru	95	tāu	tāu	Lahu: I		95	t ā u
428	Proto-Burmish	dig	PB	95	tu²	tu²	Lahu: I		95	t u ²
429	Proto-Lolo	dig	PL	95	du²	du²	Lahu: I		95	d u ²
430	Proto-Lolo-Burmese	dig	PLB	95	tu²	tu²	Lahu: I		95	t u ²
431	Rangoon	dig	Spoken Burmese	95	tû	tû	Lahu: I		95	t û
432	Atsi	disappear (lost)	Atsi	96	pyuʔ	pyuʔ			96	p yu ʔ
433	Maru	disappear (lost)	Maru	96	pyòk	pyòk			96	p y ò k
434	Proto-Burmish	disappear (lost)	PB	96	pyok	pyok			96	p yo k
435	Atsi	dog	Atsi	97	khùi	khùi			97	k h ù i
436	Maru	dog	Maru	97	lăkhā	lăkhā			97	l ă + k h ā
437	Proto-Burmish	dog	PB	97	khwei²	khwei²			97	k h w ei ²
438	Rangoon	dog	Spoken Burmese	97	khwêi	khwêi			97	k h w ê i
439	Atsi	dove	Atsi	98	phúŋkʔùi	phúŋkʔùi	BSB: V		98	p h ú ŋ k + ʔ ù i
440	Proto-Burmish	dove	PB	98	kʔyo²	kʔyo²	BSB: V		98	k ʔ yo ²
441	Rangoon	dove	Spoken Burmese	98	jôu	jôu	BSB: V		98	j ô u
442	Akha	draw water	Akha	99	xɔ̀ʔ	xɔ̀ʔ	Atsi: FT; PL: Ak		99	x ɔ̀ ʔ
443	Atsi	draw water	Atsi	99	khâm	khâm	Atsi: FT; PL: Ak		99	k h â m
444	Maru	draw water	Maru	99	γìtkhéʔ	γìtkhéʔ	Atsi: FT; PL: Ak		99	 + γ ì t + k h é ʔ
445	Proto-Burmish	draw water	PB	99	khap/khat	khap/khat	Atsi: FT; PL: Ak		99	k h a p + / k h a t
446	Proto-Lolo	draw water	PL	99	ḳhap	ḳhap	Atsi: FT; PL: Ak		99	ḳ h a p
447	Proto-Lolo-Burmese	draw water	PLB	99	khap²	khap²	Atsi: FT; PL: Ak		99	k h a p ²
448	Rangoon	draw water	Spoken Burmese	99	khaʔ	khaʔ	Atsi: FT; PL: Ak		99	k h a ʔ
449	Akha	dream (cf. sleep)	Akha	100	yuʔmāʔ	yuʔmāʔ	Lisu: Y		100	yu + ʔ m ā ʔ
450	Atsi	dream (cf. sleep)	Atsi	100	moʔ	moʔ	Lisu: Y		100	m o ʔ
451	Lisu	dream (cf. sleep)	Lisu	100	yiʔmya	yiʔmya	Lisu: Y		100	yi + ʔ m ya
452	Maru	dream (cf. sleep)	Maru	100	yapmoʔ	yapmoʔ	Lisu: Y		100	ya + p m o ʔ
453	Proto-Burmish	dream (cf. sleep)	PB	100	maʔ	maʔ	Lisu: Y		100	m a ʔ
454	Proto-Lolo	dream (cf. sleep)	PL	100	maʔ²	maʔ²	Lisu: Y		100	m a ʔ ²
455	Proto-Lolo-Burmese	dream (cf. sleep)	PLB	100	maʔ²	maʔ²	Lisu: Y		100	m a ʔ ²
456	Rangoon	dream (cf. sleep)	Spoken Burmese	100	eiʔmeʔ	eiʔmeʔ	Lisu: Y		100	ei + ʔ m e ʔ
457	Atsi	drink-1	Atsi	101	šuʔ	šuʔ			101	š u ʔ
458	Maru	drink-1	Maru	101	šók	šók			101	š ó k
459	Proto-Burmish	drink-1	PB	101	šok	šok			101	š o k
460	Rangoon	drink-1	Spoken Burmese	101	θauʔ	θauʔ			101	θ au ʔ
461	Akha	drink-2	Akha	102	dɔ́	dɔ́	Lahu: I		102	d ɔ́
462	Lisu	drink-2	Lisu	102	dɔ̄	dɔ̄	Lahu: I		102	d ɔ̄
463	Proto-Lolo	drink-2	PL	102	dɔ¹	dɔ¹	Lahu: I		102	d ɔ ¹
464	Atsi	drum	Atsi	103	tsîŋ	tsîŋ	BSB: F		103	t s î ŋ
465	Maru	drum	Maru	103	tsàŋ	tsàŋ	BSB: F		103	t s à ŋ
466	Proto-Burmish	drum	PB	103	tsiŋ¹ᵃ	tsiŋ¹ᵃ	BSB: F		103	t s i ŋ ¹ᵃ
467	Rangoon	drum	Spoken Burmese	103	sí	sí	BSB: F		103	s í
468	Akha	drunk (intoxicated)	Akha	104	jíbàyɛ̀ʔ	jíbàyɛ̀ʔ			104	j í + b à yɛ̀ ʔ
469	Lisu	drunk (intoxicated)	Lisu	104	yiʔ	yiʔ			104	yi ʔ
470	Proto-Lolo	drunk (intoxicated)	PL	104	yut¹	yut¹			104	yu t ¹
471	Atsi	dry	Atsi	105	kʔyuʔ	kʔyuʔ		BSB, Atsi, Maru forms in the Atsi, Maru, PL columns; moved them into their proper positions	105	k ʔ yu ʔ
472	Maru	dry	Maru	105	ăkʔyok	ăkʔyok		BSB, Atsi, Maru forms in the Atsi, Maru, PL columns; moved them into their proper positions	105	ă k + ʔ yo k
473	Proto-Burmish	dry	PB	105	kʔyok	kʔyok		BSB, Atsi, Maru forms in the Atsi, Maru, PL columns; moved them into their proper positions	105	k ʔ yo k
474	Rangoon	dry	Spoken Burmese	105	chauʔ	chauʔ		BSB, Atsi, Maru forms in the Atsi, Maru, PL columns; moved them into their proper positions	105	c h au ʔ
475	Atsi	dry up	Atsi	106	kʔán	kʔán			106	k ʔ á n
476	Proto-Burmish	dry up	PB	106	kʔan²	kʔan²			106	k ʔ a n ²
477	Rangoon	dry up	Spoken Burmese	106	khân	khân			106	k h â n
478	Atsi	dung-1	Atsi	107	khyì	khyì	BSB: F		107	k h y ì
479	Maru	dung-1	Maru	107	khyít	khyít	BSB: F		107	k h yí t
480	Proto-Burmish	dung-1	PB	107	khyei²	khyei²	BSB: F		107	k h yei ²
481	Rangoon	dung-1	Spoken Burmese	107	chî	chî	BSB: F		107	c h î
482	Akha	dung-2	Akha	108	cè	cè			108	c è
483	Lisu	dung-2	Lisu	108	chì	chì			108	c h ì
484	Proto-Lolo	dung-2	PL	108	che²	che²			108	c h e ²
485	Atsi	dusk (cf. sky)	Atsi	109	màuchut	màuchut			109	m à u + c h u t
486	Proto-Burmish	dusk (cf. sky)	PB	109	mo²chut	mo²chut			109	m o ² + c h u t
487	Rangoon	dusk (cf. sky)	Spoken Burmese	109	môuchouʔ	môuchouʔ			109	m ô u + c h ou ʔ
488	Atsi	dwell	Atsi	110	nyî	nyî	Maru: F		110	n y î
489	Maru	dwell	Maru	110	nà	nà	Maru: F		110	n à
490	Proto-Burmish	dwell	PB	110	nei¹ᵃ	nei¹ᵃ	Maru: F		110	n ei ¹ᵃ
491	Rangoon	dwell	Spoken Burmese	110	néi	néi	Maru: F		110	n é i
492	Atsi	dye (vb.)	Atsi	111	tsháu	tsháu			111	t s + h áu
493	Maru	dye (vb.)	Maru	111	tshúk	tshúk			111	t s + h ú k
494	Proto-Burmish	dye (vb.)	PB	111	tsho²	tsho²			111	t s + h o ²
495	Rangoon	dye (vb.)	Spoken Burmese	111	shôu	shôu			111	s h ô u
496	Atsi	ear-1	Atsi	112	nòphyò	nòphyò			112	n ò + p h y ò
497	Maru	ear-1	Maru	112	nò	nò			112	n ò
498	Proto-Burmish	ear-1	PB	112	na²ᶜ	na²ᶜ			112	n a ²ᶜ
499	Rangoon	ear-1	Spoken Burmese	112	nâ	nâ			112	n â
500	Akha	ear-2	Akha	113	nàbɔ́	nàbɔ́	Lisu: I		113	n à + b ɔ́
501	Lisu	ear-2	Lisu	113	nápô	nápô	Lisu: I		113	n á + p ô
502	Proto-Lolo	ear-2	PL	113	nʔa²bɔ¹	nʔa²bɔ¹	Lisu: I		113	n ʔ a ² + b ɔ ¹
503	Atsi	earth-1	Atsi	114	mìkûŋ	mìkûŋ	Atsi: T		114	m ì + k û ŋ
504	Maru	earth-1	Maru	114	myìt	myìt	Atsi: T		114	m y ì t
505	Proto-Burmish	earth-1	PB	114	myei¹	myei¹	Atsi: T		114	m yei ¹
506	Rangoon	earth-1	Spoken Burmese	114	myéi	myéi	Atsi: T		114	m y é i
507	Akha	earth-2	Akha	115	mítsà	mítsà			115	m í + t s à
508	Lisu	earth-2	Lisu	115	mînæ̂	mînæ̂			115	m î + n æ̂
509	Proto-Lolo	earth-2	PL	115	mi¹	mi¹			115	m i ¹
510	Atsi	easy-1	Atsi	116	lûi	lûi			116	l û i
511	Proto-Burmish	easy-1	PB	116	lwe¹ᵃ	lwe¹ᵃ			116	l w e ¹ᵃ
512	Rangoon	easy-1	Spoken Burmese	116	lwé	lwé			116	l w é
513	Akha	easy-2	Akha	117	sá	sá			117	s á
514	Proto-Lolo	easy-2	PL	117	sa¹	sa¹			117	s a ¹
515	Akha	eat	Akha	118	dzà	dzà			118	d z à
516	Atsi	eat	Atsi	118	tsó	tsó			118	t s ó
517	Lisu	eat	Lisu	118	dzà	dzà			118	d z à
518	Maru	eat	Maru	118	tsō	tsō			118	t s ō
519	Proto-Burmish	eat	PB	118	tsa²	tsa²			118	t s a ²
520	Proto-Lolo	eat	PL	118	dza²	dza²			118	d z a ²
521	Proto-Lolo-Burmese	eat	PLB	118	tsa²	tsa²			118	t s a ²
522	Rangoon	eat	Spoken Burmese	118	sâ	sâ			118	s â
523	Akha	egg (cf. fowl)	Akha	119	yāūʔ	yāūʔ	PL: La; Lisu: I, Akha: T		119	y ā ū ʔ
524	Atsi	egg (cf. fowl)	Atsi	119	voʔū	voʔū	PL: La; Lisu: I, Akha: T		119	v o + ʔ ū
525	Lisu	egg (cf. fowl)	Lisu	119	áγáfû	áγáfû	PL: La; Lisu: I, Akha: T		119	á + γ á + f û
526	Maru	egg (cf. fowl)	Maru	119	γōʔáu	γōʔáu	PL: La; Lisu: I, Akha: T		119	 + γ ō + ʔ áu
527	Proto-Burmish	egg (cf. fowl)	PB	119	u³	u³	PL: La; Lisu: I, Akha: T		119	u ³
528	Proto-Lolo	egg (cf. fowl)	PL	119	u³	u³	PL: La; Lisu: I, Akha: T		119	u ³
529	Proto-Lolo-Burmese	egg (cf. fowl)	PLB	119	u³	u³	PL: La; Lisu: I, Akha: T		119	u ³
530	Rangoon	egg (cf. fowl)	Spoken Burmese	119	ù	ù	PL: La; Lisu: I, Akha: T		119	ù
531	Atsi	eight-1	Atsi	120	šit	šit	PB: C; Maru: F	Is Burling's 'eight-2' cognate?	120	š i t
532	Maru	eight-1	Maru	120	šéʔ	šéʔ	PB: C; Maru: F	Is Burling's 'eight-2' cognate?	120	š é ʔ
533	Proto-Burmish	eight-1	PB	120	slit	slit	PB: C; Maru: F	Is Burling's 'eight-2' cognate?	120	s l i t
534	Rangoon	eight-1	Spoken Burmese	120	šiʔ	šiʔ	PB: C; Maru: F	Is Burling's 'eight-2' cognate?	120	š i ʔ
535	Akha	eight-2	Akha	121	yɛ̀ʔ	yɛ̀ʔ	Lahu: FT	Is Burling's 'eight-1' cognate?	121	yɛ̀ ʔ
536	Lisu	eight-2	Lisu	121	heʔ	heʔ	Lahu: FT	Is Burling's 'eight-1' cognate?	121	h e ʔ
537	Proto-Lolo	eight-2	PL	121	hyeʔ¹	hyeʔ¹	Lahu: FT	Is Burling's 'eight-1' cognate?	121	h ye ʔ ¹
538	Maru	elephant	Maru	122	tshà	tshà			122	t s + h à
539	Proto-Burmish	elephant	PB	122	tshaŋ²	tshaŋ²			122	t s + h a ŋ ²
540	Rangoon	elephant	Spoken Burmese	122	shín	shín			122	s h í n
541	Atsi	embrace	Atsi	123	pʔô	pʔô	BSB: TF		123	p ʔ ô
542	Maru	embrace	Maru	123	pʔò	pʔò	BSB: TF		123	p ʔ ò
543	Proto-Burmish	embrace	PB	123	pʔa¹ᵃ	pʔa¹ᵃ	BSB: TF		123	p ʔ a ¹ᵃ
544	Rangoon	embrace	Spoken Burmese	123	pheʔ	pheʔ	BSB: TF		123	p h e ʔ
545	Lisu	empty	Lisu	124	yígɔ̀	yígɔ̀			124	yí + g ɔ̀
546	Proto-Lolo	empty	PL	124	g̣ɔ²	g̣ɔ²			124	g̣ ɔ ²
547	Atsi	enclose	Atsi	125	váŋ	váŋ	Maru: F		125	v á ŋ
548	Maru	enclose	Maru	125	wàŋ	wàŋ	Maru: F		125	w à ŋ
549	Proto-Burmish	enclose	PB	125	waŋ²ᶜ	waŋ²ᶜ	Maru: F		125	w a ŋ ²ᶜ
550	Rangoon	enclose	Spoken Burmese	125	wîn	wîn	Maru: F		125	w î n
551	Atsi	endure	Atsi	126	khám	khám			126	k h á m
552	Proto-Burmish	endure	PB	126	kham¹ᵇ	kham¹ᵇ			126	k h a m ¹ᵇ
553	Rangoon	endure	Spoken Burmese	126	khán	khán			126	k h á n
554	Akha	enough	Akha	127	lòʔ	lòʔ			127	l ò ʔ
555	Lisu	enough	Lisu	127	loʔ	loʔ			127	l o ʔ
556	Maru	enough	Maru	127	lòkwá	lòkwá			127	l ò + k w á
557	Proto-Burmish	enough	PB	127	lok	lok			127	l o k
558	Proto-Lolo	enough	PL	127	loʔ¹	loʔ¹			127	l o ʔ ¹
559	Proto-Lolo-Burmese	enough	PLB	127	lok¹	lok¹			127	l o k ¹
560	Rangoon	enough	Spoken Burmese	127	lauʔ	lauʔ			127	l au ʔ
561	Atsi	enter	Atsi	128	vâŋ	vâŋ			128	v â ŋ
562	Maru	enter	Maru	128	wà	wà			128	w à
563	Proto-Burmish	enter	PB	128	waŋ¹ᵃ	waŋ¹ᵃ			128	w a ŋ ¹ᵃ
564	Rangoon	enter	Spoken Burmese	128	wín	wín			128	w í n
565	Akha	eye	Akha	129	myāʔnī̸ʔ	myāʔnī̸ʔ			129	m y ā + ʔ n ī̸ ʔ
566	Atsi	eye	Atsi	129	myoʔ	myoʔ			129	m yo ʔ
567	Lisu	eye	Lisu	129	myâsə̀	myâsə̀			129	m y â + s ə̀
568	Maru	eye	Maru	129	myòʔ	myòʔ			129	m y ò ʔ
569	Proto-Burmish	eye	PB	129	myaʔ	myaʔ			129	m ya ʔ
570	Proto-Lolo	eye	PL	129	myaʔ²	myaʔ²			129	m ya ʔ ²
571	Proto-Lolo-Burmese	eye	PLB	129	myaʔ²	myaʔ²			129	m ya ʔ ²
572	Rangoon	eye	Spoken Burmese	129	myeʔsì	myeʔsì			129	m ye + ʔ s ì
573	Akha	fall	Akha	130	gākā	gākā	PL: Ak		130	g ā + k ā
574	Maru	fall	Maru	130	pítkyó	pítkyó	PL: Ak		130	p í t + k y ó
575	Proto-Burmish	fall	PB	130	kyaʔ	kyaʔ	PL: Ak		130	k ya ʔ
576	Proto-Lolo	fall	PL	130	g̯a³	g̯a³	PL: Ak		130	g̯ a ³
577	Proto-Lolo-Burmese	fall	PLB	130	kya³	kya³	PL: Ak		130	k ya ³
578	Rangoon	fall	Spoken Burmese	130	cà	cà	PL: Ak		130	c à
579	Atsi	far	Atsi	131	vé	vé	Atsi: F; Lisu: I; PL: La		131	v é
580	Lisu	far	Lisu	131	γə̀	γə̀	Atsi: F; Lisu: I; PL: La		131	 + γ ə̀
